Employee_ID,Age,Gender,Department,Job_Role,Education_Level,Years_at_Company,Monthly_Income,Performance_Rating,Recruitment_Source,Training_Hours_Last_Year,Job_Satisfaction,Work_Life_Balance,Overtime,Attrition
63,35,Female,Operations,Lead,Bachelor's,3.6,139241,4,LinkedIn,55,2,5,Yes,No
64,28,Male,Operations,Manager,PhD,0.7,61116,3,Consultant,118,2,3,Yes,No
65,34,Female,IT,Analyst,Bachelor's,1.2,164279,3,Referral,46,4,3,No,Yes
66,43,Female,Finance,Senior Associate,Master's,2.3,152961,3,Consultant,76,2,3,No,No
67,41,Male,IT,Lead,PhD,7.4,50438,2,Job Portal,36,2,2,No,No
68,36,Male,Finance,Analyst,Bachelor's,0.3,40931,2,Campus,4,4,2,Yes,No
69,38,Male,IT,Executive,Master's,9.8,126213,5,Consultant,87,4,2,No,Yes
70,44,Female,HR,Manager,Bachelor's,2.6,123680,4,Job Portal,40,4,2,No,Yes
71,46,Male,Sales,Associate,Bachelor's,7.6,83280,5,Campus,116,1,3,No,No
72,45,Female,Sales,Executive,High School,1.8,80273,4,Referral,12,4,5,Yes,No
73,49,Male,Customer Support,Analyst,Bachelor's,10.1,85585,4,Job Portal,78,5,5,Yes,No
74,35,Male,Finance,Manager,Master's,2.2,45359,3,LinkedIn,56,1,2,No,Yes
75,21,Female,Finance,Executive,PhD,7.9,73720,1,Consultant,19,4,3,No,Yes
76,45,Female,Marketing,Analyst,PhD,0.4,63288,1,Consultant,59,1,4,No,No
77,27,Female,Marketing,Senior Associate,Master's,1.6,153501,5,Campus,4,5,5,No,No
78,29,Female,Sales,Senior Associate,Master's,24,117141,3,Job Portal,84,1,2,No,No
79,44,Female,Sales,Executive,Master's,0.5,71929,4,LinkedIn,97,4,3,Yes,No
80,21,Female,HR,Associate,Bachelor's,8.1,109059,5,Campus,119,5,4,No,No
81,28,Male,Finance,Executive,Master's,3.1,71970,5,Referral,94,3,3,No,No
82,44,Female,Finance,Associate,PhD,5.2,119864,4,Consultant,22,5,1,Yes,No
83,31,Female,Sales,Executive,PhD,14.8,123194,3,Consultant,111,1,1,Yes,Yes
84,37,Female,Finance,Lead,Master's,0.8,38414,5,LinkedIn,31,3,1,No,No
85,28,Female,Marketing,Associate,Bachelor's,2.4,116429,3,Campus,110,3,4,No,No
86,55,Male,Finance,Lead,High School,2.5,111039,3,Campus,82,2,4,No,No
87,55,Male,Marketing,Senior Associate,PhD,23.5,76230,4,Referral,49,1,1,No,No
88,53,Male,IT,Lead,Bachelor's,1.1,69272,4,Consultant,108,3,2,No,Yes
89,25,Female,Finance,Analyst,Master's,10.9,163994,3,Job Portal,111,3,5,No,No
90,59,Male,IT,Analyst,PhD,2.6,71917,2,Consultant,99,5,2,No,No
91,48,Male,Customer Support,Analyst,Master's,18.2,48417,4,Job Portal,18,2,3,No,No
92,27,Female,Customer Support,Senior Associate,PhD,0.1,78833,4,Job Portal,2,5,3,No,No
93,29,Female,Sales,Executive,Master's,14.5,61042,4,Consultant,3,4,5,No,No
94,28,Male,Finance,Lead,Master's,1.7,105451,5,Referral,17,5,1,Yes,No
95,32,Female,Customer Support,Executive,PhD,0.4,169607,4,Referral,17,4,2,Yes,No
96,54,Male,Operations,Executive,PhD,2.6,107000,2,LinkedIn,47,1,3,No,No
97,53,Female,Operations,Lead,PhD,5.9,192781,3,LinkedIn,58,4,5,No,No
98,43,Female,HR,Analyst,Master's,2.3,73922,3,Consultant,64,2,2,Yes,No
99,44,Male,Operations,Associate,High School,20.6,43255,3,Referral,86,4,4,No,No
100,57,Male,Operations,Senior Associate,PhD,4.5,178090,3,Consultant,6,4,1,Yes,No
101,55,Male,Operations,Analyst,PhD,5.6,162694,3,Campus,109,1,5,No,No
102,42,Male,Operations,Associate,High School,1.8,129898,5,Referral,82,1,2,No,No
103,47,Male,HR,Senior Associate,Bachelor's,13.4,113684,4,Job Portal,106,1,5,No,No
104,55,Other,Operations,Analyst,Bachelor's,2.3,175714,3,LinkedIn,5,3,1,No,No
105,21,Male,IT,Manager,Bachelor's,3.4,148040,3,Consultant,105,1,3,Yes,No
106,55,Female,Customer Support,Manager,Master's,8.3,49319,4,Campus,41,3,3,Yes,No
107,57,Female,HR,Manager,PhD,2,22002,3,Consultant,30,5,3,No,No
108,34,Female,Marketing,Senior Associate,High School,0.9,146530,3,Consultant,9,1,2,No,No
109,23,Male,Sales,Manager,Master's,21.3,66270,2,Job Portal,118,2,3,No,No
110,21,Male,Operations,Executive,Master's,1.5,48203,3,Consultant,35,1,3,Yes,No
111,25,Female,Operations,Manager,High School,0.3,69421,4,Referral,80,5,1,No,No
112,46,Female,Customer Support,Senior Associate,PhD,3.5,143932,5,Campus,45,3,2,No,Yes
113,34,Male,Marketing,Lead,PhD,0.2,101325,2,Campus,69,4,2,No,No
114,59,Female,Sales,Manager,Master's,0.6,64123,4,Referral,35,1,2,No,No
115,47,Male,HR,Manager,High School,1.1,67425,2,LinkedIn,65,1,4,No,No
116,29,Male,Sales,Analyst,High School,4.4,194135,4,LinkedIn,54,1,5,No,No
117,35,Female,Operations,Associate,Master's,1,36683,3,Campus,9,3,1,No,No
118,35,Female,Marketing,Associate,High School,1,75855,3,Referral,39,1,5,No,No
119,46,Male,IT,Executive,PhD,2.6,181563,1,Campus,25,3,1,No,Yes
120,33,Male,IT,Associate,PhD,5.2,184015,4,Campus,80,5,2,No,Yes
121,52,Male,Finance,Lead,PhD,1.9,106735,4,LinkedIn,60,3,2,No,Yes
122,59,Other,Operations,Associate,High School,2.4,177288,3,LinkedIn,84,5,4,No,Yes
123,52,Male,Marketing,Associate,Master's,8.3,107473,5,Referral,20,1,5,No,No
124,24,Male,Marketing,Lead,PhD,5.7,174085,4,Referral,34,5,2,No,No
125,50,Male,Customer Support,Manager,Bachelor's,1.7,140323,4,LinkedIn,77,4,3,No,No
126,57,Male,IT,Associate,Master's,22.1,86221,3,Referral,52,2,2,No,Yes
127,43,Female,HR,Manager,High School,1,117006,2,Referral,17,4,1,No,No
128,59,Male,IT,Manager,PhD,5.3,167778,5,Job Portal,94,1,5,No,No
129,35,Female,Finance,Lead,Bachelor's,9.3,125208,3,LinkedIn,70,3,4,Yes,No
130,49,Male,Finance,Associate,PhD,0.7,170189,4,Consultant,66,3,3,No,No
131,56,Female,Marketing,Manager,PhD,4.2,180680,3,Consultant,110,1,5,No,Yes
132,33,Male,Marketing,Associate,PhD,8.7,49461,3,Consultant,3,1,5,Yes,Yes
133,52,Female,Finance,Analyst,Bachelor's,13.1,173805,5,Referral,15,2,1,No,No
134,27,Male,Marketing,Analyst,Master's,2.6,144334,4,Consultant,15,3,2,Yes,No
135,42,Female,Operations,Associate,Master's,3.5,33679,3,Consultant,64,3,4,No,No
136,48,Female,Sales,Executive,High School,9.4,28135,4,Job Portal,33,5,2,Yes,No
137,22,Female,Finance,Manager,PhD,3.1,72015,4,LinkedIn,44,3,4,No,Yes
138,26,Male,Finance,Associate,Bachelor's,4.4,57577,3,LinkedIn,111,3,3,No,No
139,48,Female,Marketing,Manager,PhD,5.9,95070,3,Job Portal,83,5,4,No,Yes
140,48,Male,Sales,Associate,PhD,8.5,146735,3,Referral,92,2,5,Yes,No
141,40,Female,Customer Support,Executive,Bachelor's,0.8,47195,3,LinkedIn,104,3,3,Yes,No
142,50,Male,Operations,Manager,High School,10.2,123076,2,Consultant,89,4,1,No,No
143,31,Male,Finance,Senior Associate,Bachelor's,2.8,174616,3,Job Portal,93,5,2,Yes,Yes
144,48,Male,Customer Support,Analyst,High School,1.6,60159,3,Job Portal,84,2,4,No,No
145,45,Male,Sales,Senior Associate,Bachelor's,16.2,69583,3,Referral,52,2,4,Yes,No
146,59,Male,Finance,Associate,Bachelor's,1.2,116093,3,Consultant,80,2,1,No,No
147,53,Male,Sales,Executive,Bachelor's,5.5,69601,5,Referral,97,2,1,Yes,No
148,21,Other,IT,Executive,High School,7.2,35033,3,Consultant,40,3,4,Yes,No
149,47,Female,Finance,Associate,Bachelor's,1.6,146469,3,Campus,114,5,2,No,No
150,33,Male,Customer Support,Manager,Master's,2.4,25463,2,Consultant,63,2,1,No,No
151,23,Male,Sales,Executive,PhD,3.1,138479,2,Job Portal,96,4,5,No,No
152,59,Female,IT,Analyst,Bachelor's,9.7,38135,3,Job Portal,77,2,5,Yes,No
153,26,Male,Customer Support,Lead,High School,2.3,149079,4,Referral,113,3,5,Yes,No
154,28,Female,Marketing,Senior Associate,PhD,14.9,179538,4,Referral,96,2,2,No,No
155,47,Female,Customer Support,Analyst,PhD,1.4,77332,3,Referral,35,1,3,No,No
156,29,Female,HR,Lead,Master's,7.8,195103,4,Job Portal,33,1,2,No,No
157,57,Female,Sales,Executive,Bachelor's,1.7,60733,2,Consultant,24,3,4,Yes,No
158,53,Female,Customer Support,Manager,Bachelor's,3.1,128353,3,Referral,10,4,3,Yes,No
159,44,Male,IT,Senior Associate,Bachelor's,2.2,24485,2,Job Portal,91,3,1,No,Yes
160,35,Male,Operations,Executive,High School,16.2,27572,4,Consultant,78,3,3,No,No
161,52,Male,Finance,Executive,PhD,1.2,100197,5,Referral,5,3,3,No,No
162,52,Female,IT,Associate,PhD,7.6,117075,3,Campus,92,1,5,No,No
163,44,Male,HR,Analyst,PhD,1.4,107711,4,Consultant,76,3,3,No,No
164,32,Female,HR,Senior Associate,Bachelor's,5.8,92982,3,Referral,71,5,4,No,No
165,59,Male,HR,Lead,Master's,2.1,92445,3,Referral,93,4,2,No,No
166,22,Male,Marketing,Manager,PhD,4.3,125448,4,Job Portal,79,1,5,No,No
167,23,Male,Operations,Associate,Bachelor's,3.9,173939,1,Job Portal,90,1,5,No,No
168,57,Female,Sales,Manager,Master's,19.6,45638,2,LinkedIn,32,3,4,No,No
169,37,Female,Customer Support,Analyst,PhD,1.2,85991,3,Job Portal,6,3,1,No,No
170,22,Female,Operations,Lead,Bachelor's,1.9,121164,2,Campus,71,4,5,No,No
171,22,Female,Finance,Analyst,High School,1.3,167373,2,LinkedIn,11,1,5,No,No
172,48,Female,Sales,Senior Associate,Master's,3.9,151350,4,Consultant,115,1,4,No,No
173,43,Female,Sales,Senior Associate,High School,3.9,85473,3,LinkedIn,33,4,5,No,No
174,57,Male,Customer Support,Manager,Master's,7.2,170135,4,Job Portal,113,5,3,No,No
175,52,Male,Customer Support,Senior Associate,PhD,8.7,195687,2,Referral,58,2,3,Yes,No
176,53,Male,Marketing,Senior Associate,High School,6.4,85177,1,LinkedIn,18,4,1,No,No
177,21,Other,Customer Support,Lead,PhD,3.6,139743,3,Campus,95,5,1,Yes,No
178,39,Male,Finance,Associate,High School,7.3,182722,4,Job Portal,100,2,4,Yes,No
179,22,Male,Operations,Lead,Bachelor's,1.1,48090,1,Referral,25,1,2,Yes,No
180,46,Female,Marketing,Analyst,High School,0.1,147169,3,LinkedIn,13,2,4,Yes,No
181,52,Male,Finance,Lead,High School,3.9,81479,2,Consultant,48,1,4,No,No
182,26,Female,Operations,Executive,Bachelor's,1.8,146525,2,Job Portal,65,5,2,No,No
183,52,Female,IT,Manager,High School,1.6,118606,4,Campus,89,1,5,Yes,No
184,24,Female,Operations,Manager,PhD,4.3,28491,4,Job Portal,27,5,1,No,No
185,31,Female,Operations,Senior Associate,Bachelor's,0.9,159892,3,Consultant,81,3,3,No,No
186,37,Female,Finance,Associate,Bachelor's,1.8,68289,5,Job Portal,31,3,1,Yes,No
187,58,Female,Marketing,Executive,Master's,0.7,49485,1,LinkedIn,71,5,1,No,No
188,44,Male,IT,Associate,High School,1.1,60422,3,Job Portal,100,1,2,No,No
189,25,Female,Finance,Manager,Bachelor's,13.1,164317,1,LinkedIn,37,1,3,No,Yes
190,54,Female,HR,Senior Associate,Master's,14,75568,4,Job Portal,59,5,1,No,No
191,26,Male,Marketing,Analyst,Bachelor's,1,86288,3,Referral,55,1,1,Yes,No
192,42,Male,IT,Associate,Bachelor's,2.4,86798,2,Job Portal,113,1,4,No,No
193,31,Male,HR,Executive,High School,11.2,178415,3,Job Portal,115,4,4,No,No
194,36,Female,IT,Manager,Master's,0.2,65156,3,Job Portal,94,5,2,No,No
195,53,Male,Operations,Associate,PhD,2,148349,3,Campus,28,1,2,No,No
196,29,Female,Finance,Executive,High School,4.8,27417,3,LinkedIn,0,5,1,No,No
197,26,Male,Finance,Manager,High School,3.9,88531,3,Referral,102,3,4,No,No
198,36,Male,IT,Executive,Bachelor's,1.3,152558,3,Consultant,9,1,1,Yes,No
199,49,Male,IT,Associate,PhD,3.3,25981,3,Referral,31,3,1,No,No
200,23,Female,Finance,Senior Associate,Bachelor's,4.5,128842,2,Referral,41,5,4,Yes,No
201,40,Male,Customer Support,Associate,Master's,2,121975,4,Consultant,106,4,1,No,No
202,56,Male,Customer Support,Senior Associate,PhD,9.6,81712,2,Referral,90,3,1,No,No
203,39,Female,Sales,Associate,Master's,10.1,187783,4,Job Portal,4,2,3,No,Yes
204,46,Female,Operations,Executive,Bachelor's,4.6,87925,4,Consultant,49,3,2,No,No
205,23,Female,IT,Executive,High School,7.5,149339,3,Campus,42,1,1,No,Yes
206,39,Female,Sales,Associate,High School,7.4,149805,4,Campus,77,2,1,No,No
207,40,Female,Customer Support,Manager,High School,3.1,137557,4,Job Portal,60,4,1,No,No
208,52,Female,Finance,Senior Associate,Bachelor's,11.5,37768,3,Campus,75,4,3,Yes,Yes
209,27,Female,HR,Lead,High School,11.4,39045,3,Campus,56,5,3,No,Yes
210,53,Male,HR,Analyst,High School,7.7,117061,2,Campus,32,1,3,No,Yes
211,59,Male,Customer Support,Lead,PhD,1.6,145802,4,Referral,47,2,3,Yes,Yes
212,38,Male,Customer Support,Lead,Bachelor's,3.6,64600,4,Referral,48,3,5,No,No
213,21,Female,Marketing,Manager,Master's,3,175952,4,Campus,56,5,1,No,No
214,31,Female,Marketing,Executive,Master's,3.4,45321,5,Job Portal,1,1,5,No,No
215,48,Male,Finance,Executive,High School,3.4,104427,3,Campus,33,4,3,Yes,No
216,45,Female,IT,Senior Associate,Master's,13.1,93745,4,Consultant,90,4,4,Yes,No
217,43,Female,HR,Analyst,PhD,4,191576,4,Job Portal,18,4,3,Yes,No
218,51,Female,Customer Support,Analyst,Bachelor's,16.5,183797,2,LinkedIn,50,3,4,Yes,Yes
219,50,Female,IT,Lead,Bachelor's,15.6,125685,3,Consultant,86,1,2,No,Yes
220,55,Female,Customer Support,Senior Associate,PhD,2.9,81557,3,Consultant,31,5,1,No,No
221,27,Male,Sales,Analyst,Master's,2.4,56006,4,Job Portal,15,5,5,No,Yes
222,36,Male,Finance,Associate,PhD,8.3,33033,2,Consultant,13,4,4,Yes,No
223,46,Female,Operations,Executive,PhD,10.3,67154,3,Campus,42,5,5,No,No
224,22,Female,Marketing,Lead,High School,10.5,53851,2,LinkedIn,33,3,4,No,No
225,21,Female,Finance,Analyst,Master's,1.7,69502,3,Campus,111,2,4,No,No
226,32,Male,Marketing,Associate,PhD,0.9,21845,2,Job Portal,109,5,2,No,Yes
227,25,Male,Finance,Lead,Master's,13.1,194602,4,Campus,106,5,2,No,Yes
228,57,Male,Finance,Lead,Master's,7.9,131510,3,LinkedIn,97,5,3,Yes,Yes
229,52,Female,Marketing,Associate,Bachelor's,1.4,143705,1,Consultant,98,1,2,Yes,No
230,29,Female,Sales,Executive,Bachelor's,1.3,20984,3,Campus,105,3,1,No,No
231,55,Female,Finance,Senior Associate,PhD,1.8,48271,4,Consultant,39,3,4,Yes,No
232,39,Female,HR,Analyst,Master's,12.2,124243,3,Campus,50,4,4,No,No
233,36,Male,Finance,Associate,PhD,3.1,22587,4,Campus,60,5,1,No,No
234,23,Male,IT,Associate,High School,1,27771,2,Consultant,41,4,3,No,No
235,40,Female,HR,Lead,Bachelor's,17.4,77455,3,LinkedIn,47,3,1,Yes,No
236,44,Male,IT,Manager,Bachelor's,15.9,107583,3,Consultant,88,4,3,No,No
237,53,Female,Marketing,Lead,Master's,0.6,94220,3,Referral,24,3,4,Yes,No
238,44,Female,Marketing,Manager,Bachelor's,4.1,143070,3,Job Portal,105,3,3,Yes,No
239,31,Male,Marketing,Associate,Master's,2.4,112555,4,Job Portal,30,4,4,No,Yes
240,28,Male,Operations,Senior Associate,Master's,1.6,45257,3,Referral,82,4,4,No,No
241,56,Male,IT,Analyst,High School,3.1,186427,3,Consultant,37,4,3,No,Yes
242,58,Male,Marketing,Lead,High School,1.6,144098,3,Campus,12,5,4,No,No
243,40,Female,HR,Executive,Bachelor's,0.5,159616,3,Job Portal,97,2,3,Yes,Yes
244,55,Female,Customer Support,Analyst,PhD,15.3,177958,4,Consultant,11,4,3,No,No
245,45,Female,Marketing,Senior Associate,High School,9.1,95851,4,Job Portal,71,2,1,No,No
246,55,Female,Customer Support,Manager,Bachelor's,5,107806,4,Consultant,44,2,3,No,Yes
247,45,Female,Finance,Associate,High School,2.7,71391,2,Campus,12,2,3,Yes,No
248,49,Female,IT,Senior Associate,Bachelor's,0.6,113790,4,Consultant,99,2,5,No,Yes
249,38,Female,IT,Manager,Master's,3.5,192763,4,Referral,3,5,2,No,Yes
250,38,Male,IT,Manager,PhD,4.1,30907,4,Campus,83,2,3,No,No
251,22,Other,IT,Analyst,High School,2.6,25077,3,Referral,45,5,2,No,No
252,55,Female,Sales,Senior Associate,Bachelor's,0.2,78380,2,Referral,27,3,3,No,Yes
253,36,Female,Marketing,Analyst,High School,3.8,115669,1,Referral,76,3,3,No,Yes
254,56,Female,Finance,Analyst,Bachelor's,6.5,94759,5,Campus,70,1,3,Yes,No
255,53,Female,Finance,Associate,Bachelor's,0.2,44698,5,LinkedIn,45,3,3,No,No
256,24,Male,Operations,Senior Associate,High School,0.5,111759,4,LinkedIn,45,3,4,No,No
257,53,Female,Customer Support,Senior Associate,Master's,4.1,114020,1,Referral,6,2,2,No,Yes
258,34,Female,IT,Lead,Bachelor's,4.4,75401,4,Campus,110,1,4,Yes,No
259,41,Female,Finance,Lead,PhD,6.2,188899,3,Job Portal,87,1,4,No,No
260,40,Male,Marketing,Manager,Bachelor's,2.1,42024,5,LinkedIn,34,2,1,No,No
261,28,Male,HR,Associate,Master's,7.7,167232,4,LinkedIn,96,4,2,Yes,No
262,27,Female,Finance,Executive,PhD,6.8,68743,3,LinkedIn,79,2,1,No,No
263,23,Other,Operations,Executive,Bachelor's,1,76339,3,LinkedIn,94,2,5,No,Yes
264,37,Male,Sales,Senior Associate,Bachelor's,11.2,184349,5,Job Portal,70,3,2,Yes,No
265,53,Female,IT,Senior Associate,PhD,6.8,190692,4,Consultant,29,4,5,Yes,No
266,32,Male,HR,Associate,High School,0.5,123187,4,Referral,67,5,3,Yes,No
267,42,Female,Operations,Manager,PhD,5.1,140139,4,Consultant,91,1,4,No,Yes
268,42,Male,Customer Support,Lead,High School,24.1,111703,3,LinkedIn,86,3,5,No,No
269,50,Female,HR,Executive,High School,9.9,43267,5,Referral,115,1,5,No,No
270,58,Female,IT,Analyst,PhD,2,143470,3,Consultant,79,4,2,No,No
271,58,Male,IT,Analyst,PhD,1.9,143994,2,Job Portal,20,5,2,No,No
272,28,Male,Finance,Analyst,Master's,1.8,185978,2,Job Portal,115,4,4,No,No
273,47,Male,Customer Support,Associate,High School,0.3,49619,3,LinkedIn,98,3,3,No,No
274,47,Female,IT,Lead,Bachelor's,4.2,106345,4,Job Portal,43,3,2,No,Yes
275,54,Female,Sales,Associate,High School,8.5,30994,3,Campus,43,1,2,Yes,No
276,41,Female,Marketing,Senior Associate,High School,1.2,139650,1,LinkedIn,33,2,4,Yes,No
277,50,Female,HR,Manager,High School,0.2,132706,2,Campus,48,3,3,Yes,No
278,53,Female,IT,Lead,PhD,1.5,112976,3,Referral,88,1,3,Yes,No
279,48,Female,Finance,Analyst,Bachelor's,9.5,84068,2,Job Portal,82,5,5,No,No
280,53,Female,IT,Analyst,High School,1.5,133062,3,Consultant,28,5,2,Yes,No
281,25,Male,Sales,Manager,Bachelor's,5.7,33680,3,Job Portal,78,5,4,No,No
282,39,Female,IT,Senior Associate,Master's,0,80913,2,Job Portal,92,3,1,No,No
283,24,Male,Sales,Senior Associate,Bachelor's,1.1,114210,4,LinkedIn,107,3,4,No,Yes
284,55,Other,IT,Lead,High School,8.7,138714,3,Campus,35,2,3,Yes,No
285,37,Male,Customer Support,Senior Associate,High School,5.4,188874,5,Job Portal,24,4,4,No,No
286,48,Male,Marketing,Manager,High School,0.1,167676,4,Job Portal,63,1,4,No,Yes
287,50,Male,Finance,Lead,High School,1.4,184236,3,Campus,82,5,4,No,Yes
288,49,Female,Operations,Lead,High School,2.2,43023,4,Referral,110,4,3,No,No
289,26,Male,Customer Support,Associate,Bachelor's,0.7,148301,5,Campus,18,1,1,No,No
290,55,Female,Sales,Manager,High School,1.1,64005,1,Campus,72,4,3,Yes,No
291,57,Male,IT,Analyst,High School,0.9,173873,3,Job Portal,41,2,5,No,No
292,44,Male,HR,Senior Associate,PhD,1,88773,4,Consultant,26,3,4,No,No
293,49,Male,Sales,Senior Associate,PhD,9,57346,5,Job Portal,69,3,5,Yes,No
294,51,Male,Marketing,Analyst,Master's,8.7,106794,1,LinkedIn,16,1,2,No,Yes
295,55,Male,Marketing,Executive,Bachelor's,5.7,129088,2,LinkedIn,82,5,1,Yes,Yes
296,53,Male,HR,Manager,Bachelor's,3.3,71808,4,Job Portal,87,2,1,No,Yes
297,41,Male,IT,Analyst,Bachelor's,1.8,27774,2,Consultant,40,1,2,No,No
298,52,Male,IT,Executive,Master's,0.9,63773,4,Referral,100,3,2,Yes,No
299,43,Male,IT,Executive,Master's,3.1,61227,3,Job Portal,15,2,5,Yes,Yes
300,53,Female,IT,Lead,High School,1,107351,5,Campus,73,2,2,No,No
301,23,Male,Operations,Senior Associate,PhD,4.3,184434,3,LinkedIn,97,5,3,No,No
302,38,Male,Operations,Lead,PhD,0.3,109730,4,Referral,36,1,3,Yes,Yes
303,45,Male,IT,Manager,Master's,6.2,79639,3,Referral,94,1,1,No,Yes
