Origin_airport,Destination_airport,Origin_city,Origin_State,Destination_city,Destination_State,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
DAY,ATL,Dayton,OH,Atlanta,GA,202,321,3,432,01/03/1992,856638,3245141,39.90240097,-84.2193985,33.63669968,-84.42810059
LIT,DAL,Little Rock,AR,Dallas,TX,9818,16988,124,296,01/04/1992,547187,8314270,34.72940063,-92.22429657,32.8470993,-96.85179901
SYR,BUF,Syracuse,NY,Buffalo,NY,0,0,5,134,01/07/2006,644844,1130913,43.11119843,-76.10630035,42.94049835,-78.73220062
ORD,OMA,Chicago,IL,Omaha,NE,9539,13298,122,416,01/03/1995,17155070,717557,41.97859955,-87.90480042,41.30319977,-95.89409637
STL,ATL,St. Louis,MO,Atlanta,GA,8372,14948,101,484,01/01/1993,2616153,3339551,38.74869919,-90.37000275,33.63669968,-84.42810059
PHL,ORD,Philadelphia,PA,Chicago,IL,123,128,1,678,01/12/1990,10881988,16395048,39.87189865,-75.2410965,41.97859955,-87.90480042
MCI,OMA,Kansas City,MO,Omaha,NE,87,87,1,152,01/06/2000,1842924,769117,39.2976,-94.713898,41.30319977,-95.89409637
IND,ATL,Indianapolis,IN,Atlanta,GA,160,184,1,432,01/03/2007,1697656,5267527,39.7173,-86.294403,33.63669968,-84.42810059
LGA,MIA,New York,NY,Miami,FL,223,344,2,1097,01/05/1993,34026518,8572430,40.77719879,-73.87259674,25.79319954,-80.29060364
ALB,TPA,Albany,NY,Tampa,FL,2538,3973,29,1130,01/09/2007,852019,2711222,42.74829865,-73.80169678,27.97550011,-82.53320313
DCA,EWR,Washington,DC,Newark,NJ,3259,6552,63,199,01/01/2002,10029142,18590085,38.8521,-77.037697,40.69250107,-74.16870117
MEM,ORD,Memphis,TN,Chicago,IL,1867,2916,24,491,01/10/1996,1137519,17287860,35.04240036,-89.97669983,41.97859955,-87.90480042
IAH,MLU,Houston,TX,Monroe,LA,1027,1650,55,262,01/05/2005,5299567,171172,29.9843998,-95.34140015,32.51089859,-92.03769684
CVG,BOS,Cincinnati,OH,Boston,MA,4016,4260,30,752,01/09/1991,1870265,8227986,39.04880142,-84.6678009,42.36429977,-71.00520325
BDL,MIA,Hartford,CT,Miami,FL,0,0,1,1194,01/12/2005,1178556,10886318,41.93889999,-72.68319702,25.79319954,-80.29060364
FLL,TOL,Fort Lauderdale,FL,Toledo,OH,0,0,1,1090,01/12/2004,5362678,671681,26.07259941,-80.15270233,41.58679962,-83.80780029
IAH,TUS,Houston,TX,Tucson,AZ,4756,7448,71,936,01/04/1993,4058868,711392,29.9843998,-95.34140015,32.11610031,-110.9410019
MSP,ATL,Minneapolis,MN,Atlanta,GA,16171,19738,139,906,01/02/2002,3053303,4555490,44.88199997,-93.22180176,33.63669968,-84.42810059
LAS,TUS,Las Vegas,NV,Tucson,AZ,7790,11636,85,365,01/09/2008,1879093,1009832,36.08010101,-115.1520004,32.11610031,-110.9410019
SHV,DFW,Shreveport,LA,Dallas,TX,3307,5368,122,190,01/08/2007,387662,12313304,32.44660187,-93.82559967,32.89680099,-97.03800201
IAD,BUF,Washington,DC,Buffalo,NY,3278,4450,89,284,01/09/2003,10172752,1154212,38.94449997,-77.45580292,42.94049835,-78.73220062
CVG,ORD,Cincinnati,OH,Chicago,IL,2815,5995,55,264,01/01/2000,2014665,18235464,39.04880142,-84.6678009,41.97859955,-87.90480042
MCO,ORD,Orlando,FL,Chicago,IL,155,223,1,1005,01/06/2006,1999994,18797710,28.42939949,-81.30899811,41.97859955,-87.90480042
LAX,DFW,Los Angeles,CA,Dallas,TX,117,120,1,1235,01/11/2005,25522350,11632814,33.94250107,-118.4079971,32.89680099,-97.03800201
GSO,TPA,Greensboro,NC,Tampa,FL,2350,4222,30,580,01/03/1995,577452,2175213,36.09780121,-79.93730164,27.97550011,-82.53320313
DFW,TUL,Dallas,TX,Tulsa,OK,7362,11260,79,237,01/04/2005,11632814,881652,32.89680099,-97.03800201,36.19839859,-95.88809967
TPA,DFW,Tampa,FL,Dallas,TX,538,568,4,929,01/05/2004,2578104,11379964,27.97550011,-82.53320313,32.89680099,-97.03800201
FWA,ORD,Fort Wayne,IN,Chicago,IL,231,1088,17,157,01/10/1991,356826,16550288,40.97850037,-85.19509888,41.97859955,-87.90480042
BNA,DFW,Nashville,TN,Dallas,TX,108,188,1,631,01/03/1994,1135689,8613622,36.12450027,-86.67819977,32.89680099,-97.03800201
ATL,OMA,Atlanta,GA,Omaha,NE,1506,1550,31,821,01/07/2001,4432950,775380,33.63669968,-84.42810059,41.30319977,-95.89409637
LAX,ATL,Los Angeles,CA,Atlanta,GA,0,178,1,1946,01/02/1992,23010408,3245141,33.94250107,-118.4079971,33.63669968,-84.42810059
CMH,TPA,Columbus,OH,Tampa,FL,984,1500,30,829,01/08/2006,1737170,2684639,39.9980011,-82.89189911,27.97550011,-82.53320313
OAK,DFW,Oakland,CA,Dallas,TX,11944,16500,119,1456,01/10/1998,3998233,9475022,37.72129822,-122.2210007,32.89680099,-97.03800201
MIA,TPA,Miami,FL,Tampa,FL,8980,13064,92,204,01/12/2003,10561342,2522780,25.79319954,-80.29060364,27.97550011,-82.53320313
JFK,ORD,New York,NY,Chicago,IL,0,166,1,740,01/11/2001,36980058,18385002,40.63980103,-73.77890015,41.97859955,-87.90480042
DAY,DTW,Dayton,OH,Detroit,MI,402,816,24,166,01/01/1999,857208,8962394,39.90240097,-84.2193985,42.21239853,-83.35340118
IAD,DFW,Washington,DC,Dallas,TX,3884,6566,49,1172,01/05/2002,10029142,10953156,38.94449997,-77.45580292,32.89680099,-97.03800201
MEM,ATL,Memphis,TN,Atlanta,GA,0,0,3,332,01/01/2006,1280666,5119641,35.04240036,-89.97669983,33.63669968,-84.42810059
ABQ,DAL,Albuquerque,NM,Dallas,TX,1830,2562,21,580,01/05/2004,780865,11379964,35.04019928,-106.6090012,32.8470993,-96.85179901
BUF,DTW,Buffalo,NY,Detroit,MI,43,50,1,240,01/03/2008,1124055,8847562,42.94049835,-78.73220062,42.21239853,-83.35340118
ORD,BOS,Chicago,IL,Boston,MA,5036,6784,53,867,01/06/1993,16876600,8260582,41.97859955,-87.90480042,42.36429977,-71.00520325
PIT,ORD,Pittsburgh,PA,Chicago,IL,3699,8496,59,412,01/01/1998,2418452,17529224,40.49150085,-80.23290253,41.97859955,-87.90480042
ATL,EWR,Atlanta,GA,Newark,NJ,0,0,4,745,01/12/2004,4802300,18747431,33.63669968,-84.42810059,40.69250107,-74.16870117
ORD,EWR,Chicago,IL,Newark,NJ,2930,6027,21,719,01/01/1997,17405264,17264316,41.97859955,-87.90480042,40.69250107,-74.16870117
CLE,TPA,Cleveland,OH,Tampa,FL,334,350,7,927,01/01/2009,2091286,2747272,41.4117012,-81.84980011,27.97550011,-82.53320313
PHX,RNO,Phoenix,AZ,Reno,NV,4460,5754,42,601,01/04/2009,4364094,419261,33.43429947,-112.012001,39.49909973,-119.7679977
MSP,BZN,Minneapolis,MN,Bozeman,MT,561,730,5,874,01/03/1991,2581103,52304,44.88199997,-93.22180176,45.77750015,-111.1529999
IND,OMA,Indianapolis,IN,Omaha,NE,0,0,19,517,01/07/2003,1600165,790535,39.7173,-86.294403,41.30319977,-95.89409637
ATL,BOS,Atlanta,GA,Boston,MA,144,225,1,946,01/04/1994,3444861,8293684,33.63669968,-84.42810059,42.36429977,-71.00520325
MCO,ALB,Orlando,FL,Albany,NY,149,149,1,1073,01/04/2001,1708955,829490,28.42939949,-81.30899811,42.74829865,-73.80169678
SAT,DFW,San Antonio,TX,Dallas,TX,84,87,1,247,01/09/2003,1808267,11164066,29.53370094,-98.46980286,32.89680099,-97.03800201
EWR,EWR,Newark,NJ,Newark,NJ,41,50,1,0,01/04/2004,18747431,18747431,40.69250107,-74.16870117,40.69250107,-74.16870117
BUF,ORD,Buffalo,NY,Chicago,IL,2175,2520,21,473,01/07/2001,1163528,18385002,42.94049835,-78.73220062,41.97859955,-87.90480042
SMF,ORD,Sacramento,CA,Chicago,IL,5287,5642,31,1781,01/05/2001,1865891,18385002,38.69540024,-121.5910034,41.97859955,-87.90480042
FLL,EWR,Fort Lauderdale,FL,Newark,NJ,838,910,7,1065,01/08/1990,4074690,16868983,26.07259941,-80.15270233,40.69250107,-74.16870117
ANC,DTW,Anchorage,AK,Detroit,MI,5374,5672,31,2986,01/07/2009,374553,8806874,61.17440033,-149.9960022,42.21239853,-83.35340118
LAS,MDW,Las Vegas,NV,Chicago,IL,6338,7713,60,1521,01/09/1995,991401,17155070,36.08010101,-115.1520004,41.7859993,-87.75240326
IND,ORD,Indianapolis,IN,Chicago,IL,247,648,6,177,01/10/1992,1337172,16720340,39.7173,-86.294403,41.97859955,-87.90480042
ATL,ORD,Atlanta,GA,Chicago,IL,2862,3402,27,606,01/11/1995,3548667,17155070,33.63669968,-84.42810059,41.97859955,-87.90480042
GRR,ATL,Grand Rapids,MI,Atlanta,GA,6432,8750,175,640,01/04/2005,767149,4947012,42.88079834,-85.52279663,33.63669968,-84.42810059
CLE,BOS,Cleveland,OH,Boston,MA,2196,3348,27,563,01/10/2006,2106336,8946954,41.4117012,-81.84980011,42.36429977,-71.00520325
ORD,TUL,Chicago,IL,Tulsa,OK,1750,1898,29,585,01/06/2006,18797710,892635,41.97859955,-87.90480042,36.19839859,-95.88809967
MSP,DFW,Minneapolis,MN,Dallas,TX,3264,4698,29,852,01/05/2006,3167666,11998822,44.88199997,-93.22180176,32.89680099,-97.03800201
LAS,BUF,Las Vegas,NV,Buffalo,NY,967,1096,8,1987,01/08/2006,1778129,1130913,36.08010101,-115.1520004,42.94049835,-78.73220062
ATL,BOS,Atlanta,GA,Boston,MA,2848,5090,34,946,01/02/1998,3872031,8506878,33.63669968,-84.42810059,42.36429977,-71.00520325
FWA,ORD,Fort Wayne,IN,Chicago,IL,1366,1924,52,157,01/12/2000,391066,18235464,40.97850037,-85.19509888,41.97859955,-87.90480042
IAH,OMA,Houston,TX,Omaha,NE,1955,2728,22,781,01/11/2009,5867489,849517,29.9843998,-95.34140015,41.30319977,-95.89409637
PHL,DFW,Philadelphia,PA,Dallas,TX,935,2068,11,1302,01/12/1997,11003856,9231044,39.87189865,-75.2410965,32.89680099,-97.03800201
JFK,ORD,New York,NY,Chicago,IL,0,0,4,740,01/06/2006,37651266,18797710,40.63980103,-73.77890015,41.97859955,-87.90480042
DTW,BOS,Detroit,MI,Boston,MA,4333,7748,27,632,01/02/1996,8912962,8407438,42.21239853,-83.35340118,42.36429977,-71.00520325
ATL,MOB,Atlanta,GA,Mobile,AL,5050,5798,116,302,01/07/2006,5119641,402199,33.63669968,-84.42810059,30.69120026,-88.24279785
IAH,DFW,Houston,TX,Dallas,TX,8510,14250,95,224,01/03/1990,3789490,8019250,29.9843998,-95.34140015,32.89680099,-97.03800201
BWI,OMA,Baltimore,MD,Omaha,NE,182,258,2,1025,01/01/1996,2468142,728169,39.17539978,-76.66829681,41.30319977,-95.89409637
TYS,FAT,Knoxville,TN,Fresno,CA,355,379,1,1984,01/08/2003,641551,844194,35.81100082,-83.9940033,36.77619934,-119.7180023
IAH,DFW,Houston,TX,Dallas,TX,185,1158,3,224,01/09/1994,4127013,8613622,29.9843998,-95.34140015,32.89680099,-97.03800201
MCI,DTW,Kansas City,MO,Detroit,MI,4234,5978,49,630,01/10/1993,1694575,8711888,39.2976,-94.713898,42.21239853,-83.35340118
RIC,ATL,Richmond,VA,Atlanta,GA,133,137,1,481,01/12/2009,1238187,5475213,37.50519943,-77.31970215,33.63669968,-84.42810059
MDT,ORD,Harrisburg,PA,Chicago,IL,66,110,1,594,01/11/2008,533802,19031272,40.19350052,-76.76339722,41.97859955,-87.90480042
TYS,DTW,Knoxville,TN,Detroit,MI,3248,6002,124,443,01/10/2002,632944,8972134,35.81100082,-83.9940033,42.21239853,-83.35340118
SFO,ORD,San Francisco,CA,Chicago,IL,9266,12348,84,1846,01/04/1993,7635582,16876600,37.61899948,-122.375,41.97859955,-87.90480042
EWR,BOS,Newark,NJ,Boston,MA,12469,17119,115,200,01/06/1994,17072218,8293684,40.69250107,-74.16870117,42.36429977,-71.00520325
CRW,ORD,Charleston,WV,Chicago,IL,981,1500,30,416,01/04/2005,304426,18724160,38.37310028,-81.59320068,41.97859955,-87.90480042
JAC,DFW,Jackson,WY,Dallas,TX,2682,4512,24,1046,01/06/2004,26442,11379964,43.6072998,-110.737999,32.89680099,-97.03800201
SFO,DFW,San Francisco,CA,Dallas,TX,6362,7098,32,1464,01/05/2007,8404372,12313304,37.61899948,-122.375,32.89680099,-97.03800201
YIP,LRD,Detroit,MI,Laredo,TX,0,0,2,1353,01/08/2004,8996622,215775,42.23789978,-83.53040314,27.54380035,-99.46160126
JFK,MDW,New York,NY,Chicago,IL,171,216,1,732,01/04/2001,36980058,18385002,40.63980103,-73.77890015,41.7859993,-87.75240326
GGG,DFW,Longview,TX,Dallas,TX,20,34,1,140,01/04/1994,186900,8613622,32.38399887,-94.71150208,32.89680099,-97.03800201
RDU,ATL,Raleigh,NC,Atlanta,GA,586,600,4,356,01/08/2009,1125827,5475213,35.87760162,-78.78749847,33.63669968,-84.42810059
MKE,BOS,Milwaukee,WI,Boston,MA,31,74,1,860,01/11/2003,1528417,8916374,42.94720078,-87.89659882,42.36429977,-71.00520325
DFW,ABI,Dallas,TX,Abilene,TX,861,1292,68,158,01/02/1993,8450926,150958,32.89680099,-97.03800201,32.41130066,-99.68190002
HOU,ATL,Houston,TX,Atlanta,GA,145,149,1,696,01/07/2002,4978638,4555490,29.64539909,-95.27890015,33.63669968,-84.42810059
HSV,ORD,Huntsville,AL,Chicago,IL,163,352,8,510,01/05/2002,353145,18490270,34.6371994,-86.77510071,41.97859955,-87.90480042
LRD,ELP,Laredo,TX,El Paso,TX,0,0,1,506,01/11/2009,241438,751296,27.54380035,-99.46160126,31.80719948,-106.3779984
PIT,ATL,Pittsburgh,PA,Atlanta,GA,52,98,1,526,01/02/1995,2460192,3548667,40.49150085,-80.23290253,33.63669968,-84.42810059
IAH,ATL,Houston,TX,Atlanta,GA,169,180,1,689,01/02/1999,4540138,3988728,29.9843998,-95.34140015,33.63669968,-84.42810059
MSP,DBQ,Minneapolis,MN,Dubuque,IA,377,816,24,212,01/05/2002,3053303,89218,44.88199997,-93.22180176,42.40200043,-90.70950317
PIT,ALB,Pittsburgh,PA,Albany,NY,39,146,1,367,01/09/1990,2468674,811232,40.49150085,-80.23290253,42.74829865,-73.80169678
FLL,AUS,Fort Lauderdale,FL,Austin,TX,173,180,1,1108,01/10/1996,4543436,1036319,26.07259941,-80.15270233,30.19449997,-97.66989899
MSY,ATL,New Orleans,LA,Atlanta,GA,343,604,2,425,01/02/1995,1289805,3548667,29.99340057,-90.25800323,33.63669968,-84.42810059
JFK,DTW,New York,NY,Detroit,MI,151,275,1,508,01/09/1991,33749684,8578382,40.63980103,-73.77890015,42.21239853,-83.35340118
DSM,DFW,Des Moines,IA,Dallas,TX,1418,2240,32,624,01/11/2009,562906,12895230,41.5340004,-93.6631012,32.89680099,-97.03800201
DFW,ORD,Dallas,TX,Chicago,IL,35104,67924,490,802,01/02/1994,8613622,17018756,32.89680099,-97.03800201,41.97859955,-87.90480042
HNL,EWR,Honolulu,HI,Newark,NJ,6017,6878,29,4962,01/09/2005,900340,18798114,21.31870079,-157.9219971,40.69250107,-74.16870117
DFW,ORD,Dallas,TX,Chicago,IL,141,188,1,802,01/10/2008,12602170,19031272,32.89680099,-97.03800201,41.97859955,-87.90480042
JFK,DFW,New York,NY,Dallas,TX,2505,3870,30,1391,01/05/2001,36980058,10709246,40.63980103,-73.77890015,32.89680099,-97.03800201
MSP,TPA,Minneapolis,MN,Tampa,FL,572,620,5,1307,01/01/2002,3053303,2483575,44.88199997,-93.22180176,27.97550011,-82.53320313
IAH,ORD,Houston,TX,Chicago,IL,2231,6704,30,925,01/05/2004,5190444,18664180,29.9843998,-95.34140015,41.97859955,-87.90480042
LAX,DTW,Los Angeles,CA,Detroit,MI,5630,5735,31,1979,01/08/2005,25522350,8988796,33.94250107,-118.4079971,42.21239853,-83.35340118
EWR,MIA,Newark,NJ,Miami,FL,7002,9785,65,1086,01/05/1991,16874842,8312530,40.69250107,-74.16870117,25.79319954,-80.29060364
STL,TPA,St. Louis,MO,Tampa,FL,8190,12410,85,869,01/07/1992,2603363,2113572,38.74869919,-90.37000275,27.97550011,-82.53320313
PIT,MIA,Pittsburgh,PA,Miami,FL,1153,1750,35,1013,01/08/2004,2387819,10725356,40.49150085,-80.23290253,25.79319954,-80.29060364
MEM,IAH,Memphis,TN,Houston,TX,62,200,2,469,01/08/1990,1069965,3789490,35.04240036,-89.97669983,29.9843998,-95.34140015
SMF,RNO,Sacramento,CA,Reno,NV,0,148,1,113,01/02/2005,2028664,394881,38.69540024,-121.5910034,39.49909973,-119.7679977
DTW,EWR,Detroit,MI,Newark,NJ,2499,2800,28,487,01/08/1998,8944948,17341505,42.21239853,-83.35340118,40.69250107,-74.16870117
BHM,MDW,Birmingham,AL,Chicago,IL,1324,2196,18,570,01/02/1997,1027178,17405264,33.56290054,-86.75350189,41.7859993,-87.75240326
IAH,DTW,Houston,TX,Detroit,MI,5408,8584,58,1076,01/09/2000,4739414,8914942,29.9843998,-95.34140015,42.21239853,-83.35340118
IAH,MOB,Houston,TX,Mobile,AL,50,94,1,427,01/06/1991,3888584,382982,29.9843998,-95.34140015,30.69120026,-88.24279785
STL,IAH,St. Louis,MO,Houston,TX,5175,8770,58,667,01/06/1991,2595543,3888584,38.74869919,-90.37000275,29.9843998,-95.34140015
DTW,MIA,Detroit,MI,Miami,FL,7473,9176,62,1145,01/03/2009,8806874,11094102,42.21239853,-83.35340118,25.79319954,-80.29060364
MCO,TOL,Orlando,FL,Toledo,OH,0,0,1,918,01/10/2005,1939766,673162,28.42939949,-81.30899811,41.58679962,-83.80780029
MSP,TPA,Minneapolis,MN,Tampa,FL,6586,9176,62,1307,01/05/2001,3024111,2442189,44.88199997,-93.22180176,27.97550011,-82.53320313
LBB,ELP,Lubbock,TX,El Paso,TX,0,0,20,295,01/01/2003,259146,694672,33.66360092,-101.822998,31.80719948,-106.3779984
BWI,EWR,Baltimore,MD,Newark,NJ,1599,3948,28,169,01/11/1996,2468142,17190036,39.17539978,-76.66829681,40.69250107,-74.16870117
ATL,BOS,Atlanta,GA,Boston,MA,11674,13572,116,946,01/05/2009,5475213,9177360,33.63669968,-84.42810059,42.36429977,-71.00520325
BTR,DFW,Baton Rouge,LA,Dallas,TX,480,749,7,383,01/08/2000,707429,10392376,30.53319931,-91.14959717,32.89680099,-97.03800201
ATL,BOS,Atlanta,GA,Boston,MA,15323,22046,73,946,01/12/1994,3444861,8293684,33.63669968,-84.42810059,42.36429977,-71.00520325
MFR,EKO,Medford,OR,Elko,NV,53,124,1,382,01/01/1993,157826,40259,42.37419891,-122.8730011,40.82490158,-115.7919998
MSP,MDW,Minneapolis,MN,Chicago,IL,39,68,1,349,01/09/2008,3237612,19031272,44.88199997,-93.22180176,41.7859993,-87.75240326
LGA,ORD,New York,NY,Chicago,IL,41164,58917,441,733,01/10/1999,34863448,17655010,40.77719879,-73.87259674,41.97859955,-87.90480042
DFW,ORD,Dallas,TX,Chicago,IL,0,0,9,802,01/07/2002,10953156,18490270,32.89680099,-97.03800201,41.97859955,-87.90480042
ILN,AUS,Wilmington,OH,Austin,TX,0,0,21,1011,01/07/2007,42990,1594525,39.42789841,-83.792099,30.19449997,-97.66989899
ILN,BOS,Wilmington,OH,Boston,MA,0,0,2,700,01/10/2004,41798,8912958,39.42789841,-83.792099,42.36429977,-71.00520325
LAX,BOS,Los Angeles,CA,Boston,MA,2390,2805,17,2611,01/12/2005,25522350,8917782,33.94250107,-118.4079971,42.36429977,-71.00520325
DFW,LAW,Dallas,TX,Lawton,OK,4039,7208,212,140,01/01/2000,10392376,114675,32.89680099,-97.03800201,34.56769943,-98.41660309
MKE,ATL,Milwaukee,WI,Atlanta,GA,2163,3976,28,669,01/01/1992,1453354,3245141,42.94720078,-87.89659882,33.63669968,-84.42810059
SEA,ATL,Seattle,WA,Atlanta,GA,3755,4650,31,2182,01/05/2005,6404776,4947012,47.44900131,-122.3089981,33.63669968,-84.42810059
FLO,ATL,Florence,SC,Atlanta,GA,494,870,29,273,01/05/2002,194704,4555490,34.1853981,-79.72389984,33.63669968,-84.42810059
MSY,DFW,New Orleans,LA,Dallas,TX,4487,5672,31,448,01/08/2002,1311390,10953156,29.99340057,-90.25800323,32.89680099,-97.03800201
MKE,EWR,Milwaukee,WI,Newark,NJ,2483,5150,103,725,01/03/2004,1533932,18747431,42.94720078,-87.89659882,40.69250107,-74.16870117
MEM,ORD,Memphis,TN,Chicago,IL,0,0,2,491,01/01/2003,1238075,18572324,35.04240036,-89.97669983,41.97859955,-87.90480042
PHL,MIA,Philadelphia,PA,Miami,FL,754,1728,12,1013,01/09/2004,11645752,10725356,39.87189865,-75.2410965,25.79319954,-80.29060364
IAD,DTW,Washington,DC,Detroit,MI,4555,5400,108,383,01/06/2007,10626066,8913164,38.94449997,-77.45580292,42.21239853,-83.35340118
ICT,DFW,Wichita,KS,Dallas,TX,2676,4830,161,328,01/01/1998,571047,9475022,37.64989853,-97.43309784,32.89680099,-97.03800201
MSP,FAR,Minneapolis,MN,Fargo,ND,2672,5106,74,223,01/12/2004,3106569,183730,44.88199997,-93.22180176,46.92070007,-96.81580353
LBB,DFW,Lubbock,TX,Dallas,TX,83,88,2,282,01/07/2009,276659,12895230,33.66360092,-101.822998,32.89680099,-97.03800201
DSM,EWR,Des Moines,IA,Newark,NJ,0,0,4,1016,01/12/2008,554101,18968501,41.5340004,-93.6631012,40.69250107,-74.16870117
DCA,BOS,Washington,DC,Boston,MA,2466,4046,119,399,01/06/1994,8673930,8293684,38.8521,-77.037697,42.36429977,-71.00520325
JAX,TPA,Jacksonville,FL,Tampa,FL,3096,6576,48,180,01/04/2003,1194706,2522780,30.49410057,-81.68789673,27.97550011,-82.53320313
PIT,BKW,Pittsburgh,PA,Beckley,WV,113,456,24,193,01/05/2003,2400193,78587,40.49150085,-80.23290253,37.78730011,-81.12419891
GYY,YIP,Gary,IN,Detroit,MI,0,0,1,205,01/08/2007,9451936,8913164,41.61629868,-87.41280365,42.23789978,-83.53040314
TVC,DTW,Traverse City,MI,Detroit,MI,672,1020,30,207,01/11/1999,125787,8962394,44.74140167,-85.5821991,42.21239853,-83.35340118
MIA,ORD,Miami,FL,Chicago,IL,110,142,1,1197,01/10/1991,8312530,16550288,25.79319954,-80.29060364,41.97859955,-87.90480042
OKC,DFW,Oklahoma City,OK,Dallas,TX,92,128,1,175,01/08/2003,1131487,11164066,35.39310074,-97.60070038,32.89680099,-97.03800201
FLL,EWR,Fort Lauderdale,FL,Newark,NJ,13260,17202,122,1065,01/05/1996,4543436,17190036,26.07259941,-80.15270233,40.69250107,-74.16870117
MCO,EWR,Orlando,FL,Newark,NJ,30,129,1,938,01/10/2001,1708955,18490029,28.42939949,-81.30899811,40.69250107,-74.16870117
MSY,DFW,New Orleans,LA,Dallas,TX,179,183,1,448,01/01/1997,1286268,9231044,29.99340057,-90.25800323,32.89680099,-97.03800201
PIT,DFW,Pittsburgh,PA,Dallas,TX,12336,16592,122,1068,01/10/2005,2372328,11632814,40.49150085,-80.23290253,32.89680099,-97.03800201
PIT,ATL,Pittsburgh,PA,Atlanta,GA,2191,3312,23,526,01/05/1999,2404337,3988728,40.49150085,-80.23290253,33.63669968,-84.42810059
