S.no,Report_Month,Customer_Segment,Product_Type,Total_Revenue,Expected_Provision_Rate,Calculated_Provision_Amount,Net_Revenue
45,2024-09,SMB,Subscription_C,8868.88,0.03,292.67,8576.21
46,2024-05,Retail,AddOn_D,3232.65,0.04,126.07,3106.58
47,2024-06,Enterprise,Subscription_C,21377.24,0.02,320.66,21056.58
48,2024-06,Enterprise,AddOn_D,15409.94,0.01,123.28,15286.66
49,2024-07,Enterprise,Service_A,20718.11,0.01,227.90,20490.21
50,2024-11,Retail,Product_B,2575.66,0.05,133.93,2441.73
51,2024-03,Enterprise,Subscription_C,17132.14,0.02,256.98,16875.16
52,2024-03,SMB,AddOn_D,5343.56,0.02,101.53,5242.03
53,2024-01,SMB,Service_A,8131.32,0.03,252.07,7879.25
54,2024-11,SMB,Subscription_C,6630.57,0.02,99.46,6531.11
55,2024-03,SMB,Subscription_C,13632.33,0.03,449.87,13182.46
56,2024-06,SMB,Product_B,12753.00,0.02,306.07,12446.93
57,2024-07,Retail,Service_A,2171.74,0.05,106.42,2065.32
58,2024-06,Enterprise,Subscription_C,18810.38,0.01,169.29,18641.09
59,2024-01,Enterprise,Product_B,20965.92,0.01,125.80,20840.12
60,2024-06,Retail,Service_A,1658.10,0.05,82.90,1575.20
61,2024-01,SMB,Subscription_C,14123.37,0.03,395.45,13727.92
62,2024-10,SMB,Product_B,5335.14,0.02,122.71,5212.43
63,2024-06,SMB,Subscription_C,10741.78,0.02,257.80,10483.98
64,2024-09,Enterprise,AddOn_D,25581.35,0.02,383.72,25197.63
65,2024-03,SMB,AddOn_D,8855.39,0.03,230.24,8625.15
66,2024-01,Enterprise,Product_B,28858.61,0.01,346.30,28512.31
67,2024-01,Retail,Subscription_C,4680.88,0.04,182.55,4498.33
68,2024-03,Retail,AddOn_D,4494.18,0.05,233.70,4260.48
69,2024-01,SMB,AddOn_D,10623.67,0.02,169.98,10453.69
70,2024-10,Enterprise,Product_B,23077.34,0.01,230.77,22846.57
71,2024-08,SMB,Product_B,13548.60,0.02,216.78,13331.82
72,2024-11,Retail,Subscription_C,1728.55,0.05,88.16,1640.39
73,2024-05,Retail,Service_A,1877.50,0.04,76.98,1800.52
74,2024-04,Retail,Subscription_C,1425.47,0.05,74.12,1351.35
75,2024-06,SMB,AddOn_D,14958.75,0.03,418.84,14539.91
76,2024-01,Retail,AddOn_D,2451.06,0.05,129.91,2321.15
77,2024-01,Retail,Subscription_C,2903.94,0.05,133.58,2770.36
78,2024-10,Enterprise,Product_B,20248.31,0.01,222.73,20025.58
79,2024-11,SMB,Product_B,6004.51,0.03,162.12,5842.39
80,2024-07,SMB,Service_A,6309.66,0.03,214.53,6095.13
81,2024-09,Enterprise,Product_B,27785.12,0.01,361.21,27423.91
82,2024-01,SMB,Product_B,5228.60,0.03,177.77,5050.83
83,2024-07,SMB,Service_A,14100.29,0.02,282.01,13818.28
84,2024-05,Retail,Subscription_C,1481.75,0.04,63.72,1418.03
85,2024-10,Retail,AddOn_D,4234.27,0.04,186.31,4047.96
86,2024-09,SMB,Service_A,6109.25,0.02,128.29,5980.96
87,2024-03,Enterprise,Service_A,26137.11,0.01,339.78,25797.33
88,2024-11,Retail,Subscription_C,1275.11,0.04,44.63,1230.48
89,2024-10,Enterprise,Product_B,18928.75,0.01,208.22,18720.53
90,2024-05,SMB,Product_B,7746.74,0.03,193.67,7553.07
91,2024-05,SMB,Subscription_C,14148.38,0.02,226.37,13922.01
92,2024-08,SMB,Service_A,10320.83,0.03,340.59,9980.24
93,2024-11,Enterprise,AddOn_D,17162.37,0.01,240.27,16922.10
94,2024-03,Retail,Product_B,3329.82,0.05,159.83,3169.99
95,2024-09,Enterprise,Subscription_C,24526.07,0.01,122.63,24403.44
96,2024-10,Retail,Product_B,2420.76,0.05,123.46,2297.30
97,2024-03,SMB,AddOn_D,8937.27,0.03,277.06,8660.21
98,2024-04,SMB,AddOn_D,14762.28,0.03,369.06,14393.22
99,2024-03,Retail,Service_A,2602.57,0.05,130.13,2472.44
100,2024-01,Retail,Subscription_C,2472.41,0.04,96.42,2375.99
101,2024-04,Enterprise,Subscription_C,20289.33,0.02,304.34,19984.99
102,2024-07,Retail,Service_A,3474.22,0.04,121.60,3352.62
103,2024-10,Enterprise,AddOn_D,26485.84,0.01,370.80,26115.04
104,2024-06,SMB,AddOn_D,7917.26,0.03,221.68,7695.58
105,2024-03,SMB,AddOn_D,11703.26,0.02,257.47,11445.79
106,2024-10,Enterprise,Subscription_C,16281.60,0.01,130.25,16151.35
107,2024-01,Retail,Subscription_C,4508.64,0.04,193.87,4314.77
108,2024-03,Enterprise,AddOn_D,21106.26,0.01,232.17,20874.09
109,2024-06,Enterprise,Subscription_C,15524.63,0.01,93.15,15431.48
110,2024-09,Enterprise,Product_B,25389.87,0.01,203.12,25186.75
111,2024-01,Enterprise,AddOn_D,18243.48,0.02,273.65,17969.83
112,2024-01,Retail,Product_B,1924.72,0.04,80.84,1843.88
113,2024-06,Enterprise,Service_A,25134.50,0.01,201.08,24933.42
114,2024-03,Retail,AddOn_D,2610.52,0.04,93.98,2516.54
115,2024-10,Enterprise,Service_A,26467.20,0.01,158.80,26308.40
116,2024-01,SMB,Product_B,9830.54,0.02,186.78,9643.76
117,2024-03,Enterprise,Product_B,25154.97,0.01,201.24,24953.73
118,2024-09,Enterprise,AddOn_D,27494.14,0.01,274.94,27219.20
119,2024-04,Retail,Service_A,1757.14,0.04,65.01,1692.13
120,2024-03,SMB,Subscription_C,14425.96,0.02,230.82,14195.14
121,2024-01,SMB,Product_B,11066.73,0.02,210.27,10856.46
122,2024-06,SMB,AddOn_D,5570.99,0.02,105.85,5465.14
123,2024-08,Enterprise,Service_A,18276.49,0.01,201.04,18075.45
124,2024-11,SMB,Subscription_C,10060.42,0.02,160.97,9899.45
125,2024-08,Enterprise,Subscription_C,20913.79,0.01,188.22,20725.57
126,2024-04,SMB,AddOn_D,8988.25,0.02,179.76,8808.49
127,2024-04,Enterprise,AddOn_D,23590.62,0.01,165.13,23425.49
128,2024-06,SMB,Service_A,9521.12,0.04,333.24,9187.88
129,2024-09,Enterprise,AddOn_D,29004.91,0.01,377.06,28627.85
130,2024-11,SMB,AddOn_D,5466.72,0.03,147.60,5319.12
131,2024-09,Enterprise,AddOn_D,23654.63,0.01,165.58,23489.05
132,2024-03,Enterprise,AddOn_D,17379.50,0.01,156.42,17223.08
133,2024-01,Retail,Service_A,1600.52,0.05,80.03,1520.49
134,2024-01,Retail,Product_B,1493.71,0.05,67.22,1426.49
135,2024-08,Enterprise,Subscription_C,20058.07,0.01,200.58,19857.49
136,2024-08,SMB,Subscription_C,13423.50,0.02,241.62,13181.88
137,2024-05,SMB,Subscription_C,12598.39,0.03,390.55,12207.84
138,2024-03,Retail,AddOn_D,4498.19,0.04,193.42,4304.77
139,2024-05,Enterprise,AddOn_D,20418.39,0.01,265.44,20152.95
140,2024-06,Enterprise,Product_B,24697.96,0.01,345.77,24352.19
141,2024-06,Retail,Subscription_C,4685.17,0.05,253.00,4432.17
142,2024-05,Retail,AddOn_D,2251.22,0.04,81.04,2170.18
143,2024-09,Enterprise,Product_B,21919.68,0.01,263.04,21656.64
144,2024-08,Retail,Service_A,2325.42,0.04,93.02,2232.40
145,2024-06,SMB,AddOn_D,9797.70,0.02,225.35,9572.35
146,2024-07,Retail,Service_A,3814.39,0.05,202.16,3612.23
147,2024-01,Enterprise,Subscription_C,20201.57,0.01,222.22,19979.35
148,2024-03,Retail,Subscription_C,3547.27,0.05,166.72,3380.55
149,2024-01,Enterprise,AddOn_D,21945.27,0.01,197.51,21747.76
150,2024-09,Retail,Service_A,4342.93,0.05,208.46,4134.47
151,2024-06,SMB,Product_B,9338.21,0.02,158.75,9179.46
152,2024-10,Enterprise,AddOn_D,29440.96,0.01,206.09,29234.87
153,2024-08,SMB,Service_A,14159.74,0.03,353.99,13805.75
154,2024-03,Enterprise,AddOn_D,25070.54,0.01,225.63,24844.91
155,2024-01,Retail,AddOn_D,1205.49,0.05,57.86,1147.63
156,2024-03,SMB,Service_A,6206.32,0.02,124.13,6082.19
157,2024-10,SMB,Product_B,5062.22,0.03,141.74,4920.48
158,2024-03,Enterprise,AddOn_D,29235.81,0.01,409.30,28826.51
159,2024-01,SMB,Product_B,9505.61,0.03,285.17,9220.44
160,2024-03,SMB,Subscription_C,5980.67,0.02,107.65,5873.02
161,2024-08,Retail,AddOn_D,3987.78,0.04,151.54,3836.24
162,2024-09,SMB,Service_A,6647.89,0.02,119.66,6528.23
163,2024-08,Retail,Service_A,1372.18,0.04,57.63,1314.55
164,2024-05,Retail,AddOn_D,1677.21,0.04,63.73,1613.48
165,2024-04,Retail,Service_A,3869.47,0.04,147.04,3722.43
166,2024-06,Enterprise,Service_A,29760.19,0.01,267.84,29492.35
167,2024-10,SMB,Service_A,10632.96,0.03,297.72,10335.24
168,2024-06,Enterprise,Subscription_C,24947.77,0.01,199.58,24748.19
169,2024-05,Enterprise,AddOn_D,29919.64,0.01,209.44,29710.20
170,2024-04,Retail,Service_A,2992.27,0.04,122.68,2869.59
171,2024-04,Retail,AddOn_D,2845.61,0.05,147.97,2697.64
172,2024-01,Enterprise,AddOn_D,23489.93,0.01,258.39,23231.54
173,2024-01,SMB,Product_B,5381.89,0.03,177.60,5204.29
174,2024-06,Retail,AddOn_D,3363.20,0.06,184.98,3178.22
175,2024-04,SMB,Product_B,11488.78,0.04,402.11,11086.67
176,2024-04,Enterprise,Service_A,15754.13,0.01,141.79,15612.34
177,2024-10,SMB,Service_A,11710.44,0.03,339.60,11370.84
178,2024-01,Retail,Product_B,3543.80,0.05,166.56,3377.24
179,2024-03,Retail,Subscription_C,4968.41,0.05,268.29,4700.12
180,2024-10,Retail,Product_B,4542.00,0.04,172.60,4369.40
181,2024-06,SMB,AddOn_D,9205.59,0.03,303.78,8901.81
182,2024-01,Enterprise,Product_B,21065.16,0.01,126.39,20938.77
183,2024-09,Retail,AddOn_D,2477.13,0.05,118.90,2358.23
184,2024-04,Enterprise,AddOn_D,21705.68,0.01,195.35,21510.33
185,2024-06,Retail,AddOn_D,1259.02,0.04,55.40,1203.62
186,2024-11,Retail,Service_A,2284.23,0.05,111.93,2172.30
187,2024-11,Enterprise,Product_B,17518.91,0.01,157.67,17361.24
188,2024-09,Enterprise,Product_B,18736.18,0.01,168.63,18567.55
189,2024-01,Retail,Service_A,4995.59,0.05,259.77,4735.82
190,2024-07,SMB,Subscription_C,12181.75,0.03,377.63,11804.12
191,2024-08,Retail,AddOn_D,1251.39,0.04,45.05,1206.34
192,2024-09,Enterprise,Product_B,22309.14,0.01,312.33,21996.81
193,2024-03,SMB,Service_A,10393.85,0.04,363.78,10030.07
194,2024-05,SMB,Service_A,9192.94,0.03,294.17,8898.77
195,2024-03,Retail,AddOn_D,4423.46,0.04,176.94,4246.52
196,2024-07,SMB,Service_A,6905.86,0.02,117.40,6788.46
197,2024-08,Retail,Product_B,4626.98,0.05,235.98,4391.00
198,2024-06,Enterprise,Product_B,21217.08,0.01,190.95,21026.13
199,2024-11,Enterprise,AddOn_D,27667.60,0.01,166.01,27501.59
200,2024-09,Enterprise,Service_A,19241.71,0.01,96.21,19145.50
201,2024-04,SMB,AddOn_D,10130.40,0.02,202.61,9927.79
202,2024-01,SMB,Subscription_C,9766.76,0.03,302.77,9463.99
203,2024-05,Retail,AddOn_D,2940.54,0.05,138.21,2802.33
204,2024-09,Retail,Subscription_C,3079.29,0.05,138.57,2940.72
205,2024-03,SMB,AddOn_D,5367.35,0.02,112.71,5254.64
206,2024-03,Retail,AddOn_D,2832.56,0.06,155.79,2676.77
207,2024-03,Retail,AddOn_D,3511.48,0.04,136.95,3374.53
208,2024-05,SMB,AddOn_D,6193.06,0.03,173.41,6019.65
209,2024-07,Retail,Service_A,3747.12,0.04,161.13,3585.99
210,2024-03,SMB,Subscription_C,5116.34,0.02,112.56,5003.78
211,2024-09,Retail,Service_A,1991.80,0.04,83.66,1908.14
212,2024-01,Retail,Product_B,4528.21,0.05,230.94,4297.27
213,2024-11,Enterprise,Subscription_C,21695.48,0.02,325.43,21370.05
214,2024-01,Retail,AddOn_D,3593.38,0.05,161.70,3431.68
215,2024-04,SMB,AddOn_D,12099.31,0.03,314.58,11784.73
216,2024-11,SMB,Product_B,11518.79,0.03,311.01,11207.78
217,2024-05,SMB,AddOn_D,11528.98,0.02,230.58,11298.40
218,2024-01,SMB,Subscription_C,7702.85,0.03,261.90,7440.95
219,2024-11,SMB,Service_A,10950.09,0.03,295.65,10654.44
220,2024-01,Retail,Product_B,1753.66,0.05,84.18,1669.48
221,2024-05,Enterprise,Subscription_C,21137.45,0.01,295.92,20841.53
222,2024-11,Retail,AddOn_D,4308.37,0.05,224.04,4084.33
223,2024-09,Retail,Subscription_C,2417.12,0.04,103.94,2313.18
224,2024-04,Enterprise,Product_B,21880.67,0.01,306.33,21574.34
225,2024-08,SMB,AddOn_D,6395.23,0.03,198.25,6196.98
226,2024-10,Retail,AddOn_D,2866.69,0.04,106.07,2760.62
227,2024-11,Enterprise,AddOn_D,16774.60,0.01,134.20,16640.40
228,2024-06,SMB,Product_B,7551.76,0.03,234.10,7317.66
229,2024-03,SMB,Subscription_C,11539.84,0.02,184.64,11355.20
230,2024-11,Enterprise,Product_B,15202.11,0.01,91.21,15110.90
231,2024-10,Retail,AddOn_D,1512.98,0.06,83.21,1429.77
232,2024-03,Retail,AddOn_D,2536.58,0.04,104.00,2432.58
233,2024-05,Retail,Service_A,1592.23,0.05,82.80,1509.43
234,2024-01,SMB,Product_B,12257.74,0.02,281.93,11975.81
235,2024-10,Retail,Subscription_C,1900.17,0.05,87.41,1812.76
236,2024-03,Retail,Service_A,4740.61,0.04,175.40,4565.21
237,2024-09,Retail,Product_B,1048.66,0.04,46.14,1002.52
238,2024-05,Enterprise,Subscription_C,20400.70,0.01,142.80,20257.90
239,2024-01,Enterprise,AddOn_D,21778.65,0.01,304.90,21473.75
240,2024-01,Retail,Service_A,3963.98,0.04,170.45,3793.53
241,2024-01,SMB,AddOn_D,6284.39,0.02,125.69,6158.70
242,2024-03,SMB,Product_B,8443.73,0.02,202.65,8241.08
243,2024-09,Retail,Product_B,2439.95,0.05,126.88,2313.07
244,2024-03,SMB,Subscription_C,7784.19,0.02,171.25,7612.94
245,2024-01,Enterprise,Service_A,16195.16,0.01,178.15,16017.01
246,2024-10,Enterprise,Service_A,25688.90,0.01,333.96,25354.94
247,2024-11,Retail,AddOn_D,2403.58,0.05,115.37,2288.21
248,2024-04,Retail,Service_A,2350.09,0.04,89.30,2260.79
249,2024-03,Retail,Service_A,3316.89,0.05,169.16,3147.73
250,2024-09,Retail,AddOn_D,2691.71,0.04,115.74,2575.97
251,2024-11,Enterprise,Service_A,22212.70,0.01,222.13,21990.57
252,2024-07,Retail,Subscription_C,3303.32,0.04,138.74,3164.58
253,2024-09,Retail,Product_B,4650.10,0.05,209.25,4440.85
254,2024-06,Retail,AddOn_D,3736.24,0.05,186.81,3549.43
255,2024-01,Enterprise,AddOn_D,17867.05,0.01,89.34,17777.71
256,2024-05,SMB,Product_B,5663.47,0.02,130.26,5533.21
257,2024-01,SMB,Product_B,13597.71,0.03,435.13,13162.58
258,2024-01,SMB,AddOn_D,9607.95,0.03,259.41,9348.54
259,2024-03,Enterprise,Product_B,26561.56,0.01,132.81,26428.75
260,2024-01,SMB,Subscription_C,10809.56,0.03,324.29,10485.27
261,2024-05,Retail,AddOn_D,2074.67,0.05,95.43,1979.24
262,2024-01,Enterprise,Product_B,28224.59,0.01,254.02,27970.57
263,2024-05,Enterprise,Subscription_C,28767.28,0.01,316.44,28450.84
264,2024-01,Enterprise,Product_B,24954.21,0.01,149.73,24804.48
265,2024-07,Enterprise,AddOn_D,24789.99,0.01,297.48,24492.51
266,2024-10,Enterprise,Subscription_C,17779.60,0.01,106.68,17672.92
267,2024-04,Retail,AddOn_D,4802.45,0.04,172.89,4629.56
268,2024-11,Enterprise,AddOn_D,29568.00,0.01,206.98,29361.02
269,2024-05,SMB,Service_A,14816.35,0.02,237.06,14579.29
270,2024-10,Retail,Service_A,4914.28,0.05,230.97,4683.31
271,2024-03,Enterprise,Subscription_C,24196.57,0.01,290.36,23906.21
272,2024-04,SMB,Product_B,12191.22,0.03,414.50,11776.72
273,2024-03,Retail,Product_B,3961.59,0.05,209.96,3751.63
274,2024-07,SMB,AddOn_D,12426.97,0.03,335.53,12091.44
275,2024-08,SMB,Subscription_C,14378.20,0.03,474.48,13903.72
276,2024-01,SMB,Subscription_C,7483.26,0.03,254.43,7228.83
277,2024-01,Retail,Service_A,1364.53,0.05,66.86,1297.67
278,2024-09,Retail,Subscription_C,3111.70,0.05,164.92,2946.78
279,2024-09,Enterprise,Product_B,18311.57,0.01,238.05,18073.52
280,2024-07,Retail,Service_A,3705.85,0.05,177.88,3527.97
281,2024-10,SMB,Subscription_C,5868.27,0.03,158.44,5709.83
282,2024-01,SMB,AddOn_D,14041.77,0.02,224.67,13817.10
283,2024-05,Retail,Product_B,1223.26,0.05,55.05,1168.21
284,2024-10,Retail,Product_B,4338.56,0.05,216.93,4121.63
285,2024-10,Enterprise,AddOn_D,26385.49,0.02,395.78,25989.71
286,2024-01,SMB,Product_B,13560.12,0.02,271.20,13288.92
287,2024-04,SMB,Product_B,10303.26,0.02,195.76,10107.50
288,2024-04,SMB,Product_B,9762.58,0.03,263.59,9498.99
289,2024-08,SMB,Service_A,10387.56,0.02,218.14,10169.42
290,2024-07,SMB,Service_A,8916.03,0.02,187.24,8728.79
291,2024-07,Enterprise,Service_A,16628.80,0.01,199.55,16429.25
292,2024-03,Retail,AddOn_D,1236.18,0.04,48.21,1187.97
293,2024-03,Enterprise,Subscription_C,27864.52,0.01,167.19,27697.33
294,2024-09,SMB,Product_B,8440.27,0.03,261.65,8178.62
295,2024-09,SMB,AddOn_D,13331.04,0.03,386.60,12944.44
296,2024-06,SMB,AddOn_D,13132.00,0.03,341.43,12790.57
297,2024-10,Retail,Service_A,2816.93,0.04,123.94,2692.99
298,2024-07,Enterprise,Subscription_C,19294.80,0.01,115.77,19179.03
299,2024-01,Enterprise,Service_A,28715.00,0.01,258.44,28456.56
300,2024-10,SMB,Subscription_C,14046.86,0.03,393.31,13653.55
301,2024-01,SMB,AddOn_D,8044.48,0.03,225.25,7819.23
302,2024-10,Retail,Service_A,1941.84,0.04,75.73,1866.11
303,2024-06,Retail,AddOn_D,1684.92,0.05,77.51,1607.41
304,2024-05,SMB,Service_A,6738.63,0.02,134.77,6603.86
305,2024-03,Enterprise,Service_A,18144.67,0.01,108.87,18035.80
306,2024-10,SMB,AddOn_D,9281.33,0.03,278.44,9002.89
307,2024-11,Retail,Service_A,1762.50,0.05,86.36,1676.14
308,2024-07,Enterprise,Product_B,22890.25,0.01,183.12,22707.13
309,2024-08,Enterprise,Product_B,15714.59,0.01,188.58,15526.01
310,2024-11,Enterprise,AddOn_D,26432.53,0.01,317.19,26115.34
311,2024-03,Enterprise,Subscription_C,23024.04,0.01,276.29,22747.75
312,2024-05,Retail,Product_B,1808.63,0.05,81.39,1727.24
313,2024-01,SMB,Product_B,12564.70,0.02,213.60,12351.10
314,2024-03,Retail,Product_B,4356.32,0.05,230.88,4125.44
315,2024-03,SMB,Product_B,12266.80,0.02,233.07,12033.73
316,2024-08,Enterprise,Service_A,20311.30,0.02,304.67,20006.63
317,2024-05,Enterprise,AddOn_D,27758.83,0.01,138.79,27620.04
318,2024-08,SMB,Product_B,10459.11,0.02,209.18,10249.93
319,2024-06,Retail,Service_A,3861.84,0.04,154.47,3707.37
320,2024-01,Enterprise,Service_A,15055.71,0.01,195.72,14859.99
321,2024-09,SMB,AddOn_D,10281.85,0.03,267.33,10014.52
322,2024-03,SMB,Product_B,6623.37,0.03,218.57,6404.80
323,2024-07,SMB,Service_A,6391.76,0.03,210.93,6180.83
324,2024-10,Enterprise,Subscription_C,17344.78,0.01,173.45,17171.33
325,2024-08,Retail,Subscription_C,1849.04,0.05,83.21,1765.83
326,2024-03,Retail,AddOn_D,3224.45,0.05,145.10,3079.35
327,2024-07,SMB,Service_A,10900.84,0.03,316.12,10584.72
328,2024-05,SMB,AddOn_D,12157.16,0.02,267.46,11889.70
329,2024-01,SMB,Service_A,12946.00,0.03,401.33,12544.67
330,2024-05,Enterprise,Product_B,15784.54,0.01,126.28,15658.26
331,2024-11,SMB,Subscription_C,9498.55,0.02,218.47,9280.08
332,2024-01,Retail,Product_B,4903.80,0.05,245.19,4658.61
333,2024-07,Retail,AddOn_D,1979.93,0.05,95.04,1884.89
334,2024-06,Enterprise,Product_B,29396.77,0.01,235.17,29161.60
335,2024-08,SMB,AddOn_D,9137.83,0.02,210.17,8927.66
336,2024-05,Enterprise,AddOn_D,17077.50,0.01,136.62,16940.88
337,2024-08,Enterprise,Product_B,16957.35,0.01,152.62,16804.73
338,2024-10,Enterprise,Product_B,28516.74,0.01,171.10,28345.64
339,2024-09,SMB,Service_A,6526.26,0.02,130.53,6395.73
340,2024-01,SMB,Subscription_C,6578.28,0.03,177.61,6400.67
341,2024-03,SMB,AddOn_D,9469.30,0.03,265.14,9204.16
342,2024-07,SMB,AddOn_D,5496.59,0.02,98.94,5397.65
343,2024-03,SMB,Subscription_C,11529.10,0.02,242.11,11286.99
344,2024-06,SMB,AddOn_D,10972.33,0.03,362.09,10610.24
345,2024-01,Enterprise,Product_B,23501.60,0.01,235.02,23266.58
346,2024-01,Enterprise,Subscription_C,20409.39,0.01,163.28,20246.11
347,2024-04,Retail,Product_B,3471.09,0.04,152.73,3318.36
348,2024-07,Retail,Service_A,4204.46,0.05,197.61,4006.85
349,2024-10,Enterprise,Product_B,18566.21,0.01,92.83,18473.38
350,2024-01,Retail,Product_B,4046.27,0.04,161.85,3884.42
351,2024-10,SMB,Service_A,14716.34,0.02,264.89,14451.45
352,2024-04,SMB,Product_B,8908.38,0.02,195.98,8712.40
353,2024-03,Enterprise,Product_B,28062.03,0.01,252.56,27809.47
354,2024-07,Enterprise,AddOn_D,23568.58,0.01,329.96,23238.62
355,2024-06,Retail,Product_B,2381.79,0.04,100.04,2281.75
356,2024-10,Retail,Product_B,1456.69,0.04,58.27,1398.42
357,2024-08,Retail,Product_B,2840.13,0.04,102.24,2737.89
358,2024-08,Retail,Service_A,4290.34,0.05,214.52,4075.82
359,2024-10,SMB,Product_B,11046.76,0.02,165.70,10881.06
360,2024-06,Retail,AddOn_D,1169.98,0.05,58.50,1111.48
361,2024-07,SMB,Subscription_C,6184.02,0.03,204.07,5979.95
362,2024-01,Enterprise,AddOn_D,24491.16,0.01,244.91,24246.25
363,2024-07,Retail,Product_B,4557.02,0.04,164.05,4392.97
364,2024-09,Enterprise,Service_A,19947.10,0.01,279.26,19667.84
365,2024-06,Enterprise,Product_B,23864.32,0.01,190.91,23673.41
366,2024-04,Enterprise,AddOn_D,19815.48,0.01,198.15,19617.33
367,2024-06,Retail,Service_A,2850.81,0.05,128.29,2722.52
368,2024-11,SMB,Product_B,11160.33,0.02,212.05,10948.28
369,2024-08,Enterprise,Subscription_C,24108.92,0.01,289.31,23819.61
370,2024-03,SMB,Subscription_C,11761.01,0.02,199.94,11561.07
371,2024-07,Retail,AddOn_D,1518.98,0.05,68.35,1450.63
372,2024-01,SMB,AddOn_D,13396.82,0.02,214.35,13182.47
373,2024-03,Enterprise,Service_A,24339.67,0.01,170.38,24169.29
374,2024-11,SMB,AddOn_D,10699.12,0.02,256.78,10442.34
375,2024-08,Retail,AddOn_D,4264.85,0.04,179.12,4085.73
376,2024-08,Enterprise,Service_A,26437.47,0.01,370.12,26067.35
377,2024-03,SMB,Service_A,12469.03,0.02,299.26,12169.77
378,2024-08,Enterprise,Subscription_C,17964.54,0.01,107.79,17856.75
379,2024-11,Retail,Service_A,3860.84,0.05,189.18,3671.66
380,2024-05,SMB,AddOn_D,8410.21,0.03,235.49,8174.72
381,2024-10,SMB,AddOn_D,14489.78,0.02,304.29,14185.49
382,2024-03,Retail,AddOn_D,4436.42,0.04,195.20,4241.22
383,2024-03,Retail,Service_A,2691.66,0.05,129.20,2562.46
384,2024-05,Retail,Product_B,1512.86,0.05,68.08,1444.78
385,2024-03,SMB,AddOn_D,13720.28,0.02,315.57,13404.71
386,2024-01,Enterprise,Service_A,29668.21,0.01,356.02,29312.19
387,2024-10,Enterprise,AddOn_D,26538.11,0.01,371.53,26166.58
388,2024-01,Enterprise,Product_B,17326.67,0.01,103.96,17222.71
389,2024-03,Retail,Service_A,4779.25,0.05,219.85,4559.40
