S.no,Report_Month,Customer_Segment,Product_Type,Total_Revenue,Expected_Provision_Rate,Calculated_Provision_Amount,Net_Revenue,report_date_clean,,,
47,2024-06,Enterprise,Subscription_C,21377.24,0.02,320.66,21056.58,01/06/2024,,,
48,2024-06,Enterprise,AddOn_D,15409.94,0.01,123.28,15286.66,01/06/2024,,,
49,2024-07,Enterprise,Service_A,20718.11,0.01,227.9,20490.21,01/07/2024,,,
50,2024-11,Retail,Product_B,2575.66,0.05,133.93,2441.73,01/11/2024,,,
51,2024-03,Enterprise,Subscription_C,17132.14,0.02,256.98,16875.16,01/03/2024,,,
52,2024-03,SMB,AddOn_D,5343.56,0.02,101.53,5242.03,01/03/2024,,,
53,2024-01,SMB,Service_A,8131.32,0.03,252.07,7879.25,01/01/2024,,,
54,2024-11,SMB,Subscription_C,6630.57,0.02,99.46,6531.11,01/11/2024,,,
55,2024-03,SMB,Subscription_C,13632.33,0.03,449.87,13182.46,01/03/2024,,,
56,2024-06,SMB,Product_B,12753,0.02,306.07,12446.93,01/06/2024,,,
57,2024-07,Retail,Service_A,2171.74,0.05,106.42,2065.32,01/07/2024,,,
58,2024-06,Enterprise,Subscription_C,18810.38,0.01,169.29,18641.09,01/06/2024,,,
59,2024-01,Enterprise,Product_B,20965.92,0.01,125.8,20840.12,01/01/2024,,,
60,2024-06,Retail,Service_A,1658.1,0.05,82.9,1575.2,01/06/2024,,,
61,2024-01,SMB,Subscription_C,14123.37,0.03,395.45,13727.92,01/01/2024,,,
62,2024-10,SMB,Product_B,5335.14,0.02,122.71,5212.43,01/10/2024,,,
63,2024-06,SMB,Subscription_C,10741.78,0.02,257.8,10483.98,01/06/2024,,,
64,2024-09,Enterprise,AddOn_D,25581.35,0.02,383.72,25197.63,01/09/2024,,,
65,2024-03,SMB,AddOn_D,8855.39,0.03,230.24,8625.15,01/03/2024,,,
66,2024-01,Enterprise,Product_B,28858.61,0.01,346.3,28512.31,01/01/2024,,,
67,2024-01,Retail,Subscription_C,4680.88,0.04,182.55,4498.33,01/01/2024,,,
68,2024-03,Retail,AddOn_D,4494.18,0.05,233.7,4260.48,01/03/2024,,,
69,2024-01,SMB,AddOn_D,10623.67,0.02,169.98,10453.69,01/01/2024,,,
70,2024-10,Enterprise,Product_B,23077.34,0.01,230.77,22846.57,01/10/2024,,,
71,2024-08,SMB,Product_B,13548.6,0.02,216.78,13331.82,01/08/2024,,,
72,2024-11,Retail,Subscription_C,1728.55,0.05,88.16,1640.39,01/11/2024,,,
73,2024-05,Retail,Service_A,1877.5,0.04,76.98,1800.52,01/05/2024,,,
74,2024-04,Retail,Subscription_C,1425.47,0.05,74.12,1351.35,01/04/2024,,,
75,2024-06,SMB,AddOn_D,14958.75,0.03,418.84,14539.91,01/06/2024,,,
76,2024-01,Retail,AddOn_D,2451.06,0.05,129.91,2321.15,01/01/2024,,,
77,2024-01,Retail,Subscription_C,2903.94,0.05,133.58,2770.36,01/01/2024,,,
78,2024-10,Enterprise,Product_B,20248.31,0.01,222.73,20025.58,01/10/2024,,,
79,2024-11,SMB,Product_B,6004.51,0.03,162.12,5842.39,01/11/2024,,,
80,2024-07,SMB,Service_A,6309.66,0.03,214.53,6095.13,01/07/2024,,,
81,2024-09,Enterprise,Product_B,27785.12,0.01,361.21,27423.91,01/09/2024,,,
82,2024-01,SMB,Product_B,5228.6,0.03,177.77,5050.83,01/01/2024,,,
83,2024-07,SMB,Service_A,14100.29,0.02,282.01,13818.28,01/07/2024,,,
84,2024-05,Retail,Subscription_C,1481.75,0.04,63.72,1418.03,01/05/2024,,,
85,2024-10,Retail,AddOn_D,4234.27,0.04,186.31,4047.96,01/10/2024,,,
86,2024-09,SMB,Service_A,6109.25,0.02,128.29,5980.96,01/09/2024,,,
87,2024-03,Enterprise,Service_A,26137.11,0.01,339.78,25797.33,01/03/2024,,,
88,2024-11,Retail,Subscription_C,1275.11,0.04,44.63,1230.48,01/11/2024,,,
89,2024-10,Enterprise,Product_B,18928.75,0.01,208.22,18720.53,01/10/2024,,,
90,2024-05,SMB,Product_B,7746.74,0.03,193.67,7553.07,01/05/2024,,,
91,2024-05,SMB,Subscription_C,14148.38,0.02,226.37,13922.01,01/05/2024,,,
92,2024-08,SMB,Service_A,10320.83,0.03,340.59,9980.24,01/08/2024,,,
93,2024-11,Enterprise,AddOn_D,17162.37,0.01,240.27,16922.1,01/11/2024,,,
94,2024-03,Retail,Product_B,3329.82,0.05,159.83,3169.99,01/03/2024,,,
95,2024-09,Enterprise,Subscription_C,24526.07,0.01,122.63,24403.44,01/09/2024,,,
96,2024-10,Retail,Product_B,2420.76,0.05,123.46,2297.3,01/10/2024,,,
97,2024-03,SMB,AddOn_D,8937.27,0.03,277.06,8660.21,01/03/2024,,,
98,2024-04,SMB,AddOn_D,14762.28,0.03,369.06,14393.22,01/04/2024,,,
99,2024-03,Retail,Service_A,2602.57,0.05,130.13,2472.44,01/03/2024,,,
100,2024-01,Retail,Subscription_C,2472.41,0.04,96.42,2375.99,01/01/2024,,,
101,2024-04,Enterprise,Subscription_C,20289.33,0.02,304.34,19984.99,01/04/2024,,,
102,2024-07,Retail,Service_A,3474.22,0.04,121.6,3352.62,01/07/2024,,,
103,2024-10,Enterprise,AddOn_D,26485.84,0.01,370.8,26115.04,01/10/2024,,,
104,2024-06,SMB,AddOn_D,7917.26,0.03,221.68,7695.58,01/06/2024,,,
105,2024-03,SMB,AddOn_D,11703.26,0.02,257.47,11445.79,01/03/2024,,,
106,2024-10,Enterprise,Subscription_C,16281.6,0.01,130.25,16151.35,01/10/2024,,,
107,2024-01,Retail,Subscription_C,4508.64,0.04,193.87,4314.77,01/01/2024,,,
108,2024-03,Enterprise,AddOn_D,21106.26,0.01,232.17,20874.09,01/03/2024,,,
109,2024-06,Enterprise,Subscription_C,15524.63,0.01,93.15,15431.48,01/06/2024,,,
110,2024-09,Enterprise,Product_B,25389.87,0.01,203.12,25186.75,01/09/2024,,,
111,2024-01,Enterprise,AddOn_D,18243.48,0.02,273.65,17969.83,01/01/2024,,,
112,2024-01,Retail,Product_B,1924.72,0.04,80.84,1843.88,01/01/2024,,,
113,2024-06,Enterprise,Service_A,25134.5,0.01,201.08,24933.42,01/06/2024,,,
114,2024-03,Retail,AddOn_D,2610.52,0.04,93.98,2516.54,01/03/2024,,,
115,2024-10,Enterprise,Service_A,26467.2,0.01,158.8,26308.4,01/10/2024,,,
116,2024-01,SMB,Product_B,9830.54,0.02,186.78,9643.76,01/01/2024,,,
117,2024-03,Enterprise,Product_B,25154.97,0.01,201.24,24953.73,01/03/2024,,,
118,2024-09,Enterprise,AddOn_D,27494.14,0.01,274.94,27219.2,01/09/2024,,,
119,2024-04,Retail,Service_A,1757.14,0.04,65.01,1692.13,01/04/2024,,,
120,2024-03,SMB,Subscription_C,14425.96,0.02,230.82,14195.14,01/03/2024,,,
121,2024-01,SMB,Product_B,11066.73,0.02,210.27,10856.46,01/01/2024,,,
122,2024-06,SMB,AddOn_D,5570.99,0.02,105.85,5465.14,01/06/2024,,,
123,2024-08,Enterprise,Service_A,18276.49,0.01,201.04,18075.45,01/08/2024,,,
124,2024-11,SMB,Subscription_C,10060.42,0.02,160.97,9899.45,01/11/2024,,,
125,2024-08,Enterprise,Subscription_C,20913.79,0.01,188.22,20725.57,01/08/2024,,,
126,2024-04,SMB,AddOn_D,8988.25,0.02,179.76,8808.49,01/04/2024,,,
127,2024-04,Enterprise,AddOn_D,23590.62,0.01,165.13,23425.49,01/04/2024,,,
128,2024-06,SMB,Service_A,9521.12,0.04,333.24,9187.88,01/06/2024,,,
129,2024-09,Enterprise,AddOn_D,29004.91,0.01,377.06,28627.85,01/09/2024,,,
130,2024-11,SMB,AddOn_D,5466.72,0.03,147.6,5319.12,01/11/2024,,,
131,2024-09,Enterprise,AddOn_D,23654.63,0.01,165.58,23489.05,01/09/2024,,,
132,2024-03,Enterprise,AddOn_D,17379.5,0.01,156.42,17223.08,01/03/2024,,,
133,2024-01,Retail,Service_A,1600.52,0.05,80.03,1520.49,01/01/2024,,,
134,2024-01,Retail,Product_B,1493.71,0.05,67.22,1426.49,01/01/2024,,,
135,2024-08,Enterprise,Subscription_C,20058.07,0.01,200.58,19857.49,01/08/2024,,,
136,2024-08,SMB,Subscription_C,13423.5,0.02,241.62,13181.88,01/08/2024,,,
137,2024-05,SMB,Subscription_C,12598.39,0.03,390.55,12207.84,01/05/2024,,,
138,2024-03,Retail,AddOn_D,4498.19,0.04,193.42,4304.77,01/03/2024,,,
139,2024-05,Enterprise,AddOn_D,20418.39,0.01,265.44,20152.95,01/05/2024,,,
140,2024-06,Enterprise,Product_B,24697.96,0.01,345.77,24352.19,01/06/2024,,,
141,2024-06,Retail,Subscription_C,4685.17,0.05,253,4432.17,01/06/2024,,,
142,2024-05,Retail,AddOn_D,2251.22,0.04,81.04,2170.18,01/05/2024,,,
143,2024-09,Enterprise,Product_B,21919.68,0.01,263.04,21656.64,01/09/2024,,,
144,2024-08,Retail,Service_A,2325.42,0.04,93.02,2232.4,01/08/2024,,,
145,2024-06,SMB,AddOn_D,9797.7,0.02,225.35,9572.35,01/06/2024,,,
146,2024-07,Retail,Service_A,3814.39,0.05,202.16,3612.23,01/07/2024,,,
147,2024-01,Enterprise,Subscription_C,20201.57,0.01,222.22,19979.35,01/01/2024,,,
148,2024-03,Retail,Subscription_C,3547.27,0.05,166.72,3380.55,01/03/2024,,,
149,2024-01,Enterprise,AddOn_D,21945.27,0.01,197.51,21747.76,01/01/2024,,,
150,2024-09,Retail,Service_A,4342.93,0.05,208.46,4134.47,01/09/2024,,,
151,2024-06,SMB,Product_B,9338.21,0.02,158.75,9179.46,01/06/2024,,,
152,2024-10,Enterprise,AddOn_D,29440.96,0.01,206.09,29234.87,01/10/2024,,,
153,2024-08,SMB,Service_A,14159.74,0.03,353.99,13805.75,01/08/2024,,,
154,2024-03,Enterprise,AddOn_D,25070.54,0.01,225.63,24844.91,01/03/2024,,,
155,2024-01,Retail,AddOn_D,1205.49,0.05,57.86,1147.63,01/01/2024,,,
156,2024-03,SMB,Service_A,6206.32,0.02,124.13,6082.19,01/03/2024,,,
157,2024-10,SMB,Product_B,5062.22,0.03,141.74,4920.48,01/10/2024,,,
158,2024-03,Enterprise,AddOn_D,29235.81,0.01,409.3,28826.51,01/03/2024,,,
159,2024-01,SMB,Product_B,9505.61,0.03,285.17,9220.44,01/01/2024,,,
160,2024-03,SMB,Subscription_C,5980.67,0.02,107.65,5873.02,01/03/2024,,,
161,2024-08,Retail,AddOn_D,3987.78,0.04,151.54,3836.24,01/08/2024,,,
162,2024-09,SMB,Service_A,6647.89,0.02,119.66,6528.23,01/09/2024,,,
163,2024-08,Retail,Service_A,1372.18,0.04,57.63,1314.55,01/08/2024,,,
164,2024-05,Retail,AddOn_D,1677.21,0.04,63.73,1613.48,01/05/2024,,,
165,2024-04,Retail,Service_A,3869.47,0.04,147.04,3722.43,01/04/2024,,,
166,2024-06,Enterprise,Service_A,29760.19,0.01,267.84,29492.35,01/06/2024,,,
167,2024-10,SMB,Service_A,10632.96,0.03,297.72,10335.24,01/10/2024,,,
168,2024-06,Enterprise,Subscription_C,24947.77,0.01,199.58,24748.19,01/06/2024,,,
169,2024-05,Enterprise,AddOn_D,29919.64,0.01,209.44,29710.2,01/05/2024,,,
170,2024-04,Retail,Service_A,2992.27,0.04,122.68,2869.59,01/04/2024,,,
171,2024-04,Retail,AddOn_D,2845.61,0.05,147.97,2697.64,01/04/2024,,,
172,2024-01,Enterprise,AddOn_D,23489.93,0.01,258.39,23231.54,01/01/2024,,,
173,2024-01,SMB,Product_B,5381.89,0.03,177.6,5204.29,01/01/2024,,,
174,2024-06,Retail,AddOn_D,3363.2,0.06,184.98,3178.22,01/06/2024,,,
175,2024-04,SMB,Product_B,11488.78,0.04,402.11,11086.67,01/04/2024,,,
176,2024-04,Enterprise,Service_A,15754.13,0.01,141.79,15612.34,01/04/2024,,,
177,2024-10,SMB,Service_A,11710.44,0.03,339.6,11370.84,01/10/2024,,,
178,2024-01,Retail,Product_B,3543.8,0.05,166.56,3377.24,01/01/2024,,,
179,2024-03,Retail,Subscription_C,4968.41,0.05,268.29,4700.12,01/03/2024,,,
180,2024-10,Retail,Product_B,4542,0.04,172.6,4369.4,01/10/2024,,,
181,2024-06,SMB,AddOn_D,9205.59,0.03,303.78,8901.81,01/06/2024,,,
182,2024-01,Enterprise,Product_B,21065.16,0.01,126.39,20938.77,01/01/2024,,,
183,2024-09,Retail,AddOn_D,2477.13,0.05,118.9,2358.23,01/09/2024,,,
184,2024-04,Enterprise,AddOn_D,21705.68,0.01,195.35,21510.33,01/04/2024,,,
185,2024-06,Retail,AddOn_D,1259.02,0.04,55.4,1203.62,01/06/2024,,,
186,2024-11,Retail,Service_A,2284.23,0.05,111.93,2172.3,01/11/2024,,,
187,2024-11,Enterprise,Product_B,17518.91,0.01,157.67,17361.24,01/11/2024,,,
188,2024-09,Enterprise,Product_B,18736.18,0.01,168.63,18567.55,01/09/2024,,,
189,2024-01,Retail,Service_A,4995.59,0.05,259.77,4735.82,01/01/2024,,,
190,2024-07,SMB,Subscription_C,12181.75,0.03,377.63,11804.12,01/07/2024,,,
191,2024-08,Retail,AddOn_D,1251.39,0.04,45.05,1206.34,01/08/2024,,,
192,2024-09,Enterprise,Product_B,22309.14,0.01,312.33,21996.81,01/09/2024,,,
193,2024-03,SMB,Service_A,10393.85,0.04,363.78,10030.07,01/03/2024,,,
194,2024-05,SMB,Service_A,9192.94,0.03,294.17,8898.77,01/05/2024,,,
195,2024-03,Retail,AddOn_D,4423.46,0.04,176.94,4246.52,01/03/2024,,,
196,2024-07,SMB,Service_A,6905.86,0.02,117.4,6788.46,01/07/2024,,,
197,2024-08,Retail,Product_B,4626.98,0.05,235.98,4391,01/08/2024,,,
198,2024-06,Enterprise,Product_B,21217.08,0.01,190.95,21026.13,01/06/2024,,,
199,2024-11,Enterprise,AddOn_D,27667.6,0.01,166.01,27501.59,01/11/2024,,,
200,2024-09,Enterprise,Service_A,19241.71,0.01,96.21,19145.5,01/09/2024,,,
201,2024-04,SMB,AddOn_D,10130.4,0.02,202.61,9927.79,01/04/2024,,,
202,2024-01,SMB,Subscription_C,9766.76,0.03,302.77,9463.99,01/01/2024,,,
203,2024-05,Retail,AddOn_D,2940.54,0.05,138.21,2802.33,01/05/2024,,,
204,2024-09,Retail,Subscription_C,3079.29,0.05,138.57,2940.72,01/09/2024,,,
205,2024-03,SMB,AddOn_D,5367.35,0.02,112.71,5254.64,01/03/2024,,,
206,2024-03,Retail,AddOn_D,2832.56,0.06,155.79,2676.77,01/03/2024,,,
207,2024-03,Retail,AddOn_D,3511.48,0.04,136.95,3374.53,01/03/2024,,,
208,2024-05,SMB,AddOn_D,6193.06,0.03,173.41,6019.65,01/05/2024,,,
209,2024-07,Retail,Service_A,3747.12,0.04,161.13,3585.99,01/07/2024,,,
210,2024-03,SMB,Subscription_C,5116.34,0.02,112.56,5003.78,01/03/2024,,,
211,2024-09,Retail,Service_A,1991.8,0.04,83.66,1908.14,01/09/2024,,,
212,2024-01,Retail,Product_B,4528.21,0.05,230.94,4297.27,01/01/2024,,,
213,2024-11,Enterprise,Subscription_C,21695.48,0.02,325.43,21370.05,01/11/2024,,,
214,2024-01,Retail,AddOn_D,3593.38,0.05,161.7,3431.68,01/01/2024,,,
215,2024-04,SMB,AddOn_D,12099.31,0.03,314.58,11784.73,01/04/2024,,,
216,2024-11,SMB,Product_B,11518.79,0.03,311.01,11207.78,01/11/2024,,,
217,2024-05,SMB,AddOn_D,11528.98,0.02,230.58,11298.4,01/05/2024,,,
218,2024-01,SMB,Subscription_C,7702.85,0.03,261.9,7440.95,01/01/2024,,,
219,2024-11,SMB,Service_A,10950.09,0.03,295.65,10654.44,01/11/2024,,,
220,2024-01,Retail,Product_B,1753.66,0.05,84.18,1669.48,01/01/2024,,,
221,2024-05,Enterprise,Subscription_C,21137.45,0.01,295.92,20841.53,01/05/2024,,,
222,2024-11,Retail,AddOn_D,4308.37,0.05,224.04,4084.33,01/11/2024,,,
223,2024-09,Retail,Subscription_C,2417.12,0.04,103.94,2313.18,01/09/2024,,,
224,2024-04,Enterprise,Product_B,21880.67,0.01,306.33,21574.34,01/04/2024,,,
225,2024-08,SMB,AddOn_D,6395.23,0.03,198.25,6196.98,01/08/2024,,,
226,2024-10,Retail,AddOn_D,2866.69,0.04,106.07,2760.62,01/10/2024,,,
227,2024-11,Enterprise,AddOn_D,16774.6,0.01,134.2,16640.4,01/11/2024,,,
228,2024-06,SMB,Product_B,7551.76,0.03,234.1,7317.66,01/06/2024,,,
229,2024-03,SMB,Subscription_C,11539.84,0.02,184.64,11355.2,01/03/2024,,,
230,2024-11,Enterprise,Product_B,15202.11,0.01,91.21,15110.9,01/11/2024,,,
231,2024-10,Retail,AddOn_D,1512.98,0.06,83.21,1429.77,01/10/2024,,,
232,2024-03,Retail,AddOn_D,2536.58,0.04,104,2432.58,01/03/2024,,,
233,2024-05,Retail,Service_A,1592.23,0.05,82.8,1509.43,01/05/2024,,,
234,2024-01,SMB,Product_B,12257.74,0.02,281.93,11975.81,01/01/2024,,,
235,2024-10,Retail,Subscription_C,1900.17,0.05,87.41,1812.76,01/10/2024,,,
236,2024-03,Retail,Service_A,4740.61,0.04,175.4,4565.21,01/03/2024,,,
237,2024-09,Retail,Product_B,1048.66,0.04,46.14,1002.52,01/09/2024,,,
238,2024-05,Enterprise,Subscription_C,20400.7,0.01,142.8,20257.9,01/05/2024,,,
239,2024-01,Enterprise,AddOn_D,21778.65,0.01,304.9,21473.75,01/01/2024,,,
240,2024-01,Retail,Service_A,3963.98,0.04,170.45,3793.53,01/01/2024,,,
241,2024-01,SMB,AddOn_D,6284.39,0.02,125.69,6158.7,01/01/2024,,,
242,2024-03,SMB,Product_B,8443.73,0.02,202.65,8241.08,01/03/2024,,,
243,2024-09,Retail,Product_B,2439.95,0.05,126.88,2313.07,01/09/2024,,,
244,2024-03,SMB,Subscription_C,7784.19,0.02,171.25,7612.94,01/03/2024,,,
245,2024-01,Enterprise,Service_A,16195.16,0.01,178.15,16017.01,01/01/2024,,,
246,2024-10,Enterprise,Service_A,25688.9,0.01,333.96,25354.94,01/10/2024,,,
247,2024-11,Retail,AddOn_D,2403.58,0.05,115.37,2288.21,01/11/2024,,,
248,2024-04,Retail,Service_A,2350.09,0.04,89.3,2260.79,01/04/2024,,,
249,2024-03,Retail,Service_A,3316.89,0.05,169.16,3147.73,01/03/2024,,,
250,2024-09,Retail,AddOn_D,2691.71,0.04,115.74,2575.97,01/09/2024,,,
251,2024-11,Enterprise,Service_A,22212.7,0.01,222.13,21990.57,01/11/2024,,,
252,2024-07,Retail,Subscription_C,3303.32,0.04,138.74,3164.58,01/07/2024,,,
253,2024-09,Retail,Product_B,4650.1,0.05,209.25,4440.85,01/09/2024,,,
254,2024-06,Retail,AddOn_D,3736.24,0.05,186.81,3549.43,01/06/2024,,,
255,2024-01,Enterprise,AddOn_D,17867.05,0.01,89.34,17777.71,01/01/2024,,,
256,2024-05,SMB,Product_B,5663.47,0.02,130.26,5533.21,01/05/2024,,,
257,2024-01,SMB,Product_B,13597.71,0.03,435.13,13162.58,01/01/2024,,,
258,2024-01,SMB,AddOn_D,9607.95,0.03,259.41,9348.54,01/01/2024,,,
259,2024-03,Enterprise,Product_B,26561.56,0.01,132.81,26428.75,01/03/2024,,,
260,2024-01,SMB,Subscription_C,10809.56,0.03,324.29,10485.27,01/01/2024,,,
261,2024-05,Retail,AddOn_D,2074.67,0.05,95.43,1979.24,01/05/2024,,,
262,2024-01,Enterprise,Product_B,28224.59,0.01,254.02,27970.57,01/01/2024,,,
263,2024-05,Enterprise,Subscription_C,28767.28,0.01,316.44,28450.84,01/05/2024,,,
264,2024-01,Enterprise,Product_B,24954.21,0.01,149.73,24804.48,01/01/2024,,,
265,2024-07,Enterprise,AddOn_D,24789.99,0.01,297.48,24492.51,01/07/2024,,,
266,2024-10,Enterprise,Subscription_C,17779.6,0.01,106.68,17672.92,01/10/2024,,,
267,2024-04,Retail,AddOn_D,4802.45,0.04,172.89,4629.56,01/04/2024,,,
268,2024-11,Enterprise,AddOn_D,29568,0.01,206.98,29361.02,01/11/2024,,,
269,2024-05,SMB,Service_A,14816.35,0.02,237.06,14579.29,01/05/2024,,,
270,2024-10,Retail,Service_A,4914.28,0.05,230.97,4683.31,01/10/2024,,,
271,2024-03,Enterprise,Subscription_C,24196.57,0.01,290.36,23906.21,01/03/2024,,,
272,2024-04,SMB,Product_B,12191.22,0.03,414.5,11776.72,01/04/2024,,,
273,2024-03,Retail,Product_B,3961.59,0.05,209.96,3751.63,01/03/2024,,,
274,2024-07,SMB,AddOn_D,12426.97,0.03,335.53,12091.44,01/07/2024,,,
275,2024-08,SMB,Subscription_C,14378.2,0.03,474.48,13903.72,01/08/2024,,,
276,2024-01,SMB,Subscription_C,7483.26,0.03,254.43,7228.83,01/01/2024,,,
277,2024-01,Retail,Service_A,1364.53,0.05,66.86,1297.67,01/01/2024,,,
278,2024-09,Retail,Subscription_C,3111.7,0.05,164.92,2946.78,01/09/2024,,,
279,2024-09,Enterprise,Product_B,18311.57,0.01,238.05,18073.52,01/09/2024,,,
280,2024-07,Retail,Service_A,3705.85,0.05,177.88,3527.97,01/07/2024,,,
281,2024-10,SMB,Subscription_C,5868.27,0.03,158.44,5709.83,01/10/2024,,,
282,2024-01,SMB,AddOn_D,14041.77,0.02,224.67,13817.1,01/01/2024,,,
283,2024-05,Retail,Product_B,1223.26,0.05,55.05,1168.21,01/05/2024,,,
284,2024-10,Retail,Product_B,4338.56,0.05,216.93,4121.63,01/10/2024,,,
285,2024-10,Enterprise,AddOn_D,26385.49,0.02,395.78,25989.71,01/10/2024,,,
286,2024-01,SMB,Product_B,13560.12,0.02,271.2,13288.92,01/01/2024,,,
287,2024-04,SMB,Product_B,10303.26,0.02,195.76,10107.5,01/04/2024,,,
288,2024-04,SMB,Product_B,9762.58,0.03,263.59,9498.99,01/04/2024,,,
289,2024-08,SMB,Service_A,10387.56,0.02,218.14,10169.42,01/08/2024,,,
290,2024-07,SMB,Service_A,8916.03,0.02,187.24,8728.79,01/07/2024,,,
291,2024-07,Enterprise,Service_A,16628.8,0.01,199.55,16429.25,01/07/2024,,,
292,2024-03,Retail,AddOn_D,1236.18,0.04,48.21,1187.97,01/03/2024,,,
293,2024-03,Enterprise,Subscription_C,27864.52,0.01,167.19,27697.33,01/03/2024,,,
294,2024-09,SMB,Product_B,8440.27,0.03,261.65,8178.62,01/09/2024,,,
295,2024-09,SMB,AddOn_D,13331.04,0.03,386.6,12944.44,01/09/2024,,,
296,2024-06,SMB,AddOn_D,13132,0.03,341.43,12790.57,01/06/2024,,,
297,2024-10,Retail,Service_A,2816.93,0.04,123.94,2692.99,01/10/2024,,,
298,2024-07,Enterprise,Subscription_C,19294.8,0.01,115.77,19179.03,01/07/2024,,,
299,2024-01,Enterprise,Service_A,28715,0.01,258.44,28456.56,01/01/2024,,,
300,2024-10,SMB,Subscription_C,14046.86,0.03,393.31,13653.55,01/10/2024,,,
301,2024-01,SMB,AddOn_D,8044.48,0.03,225.25,7819.23,01/01/2024,,,
302,2024-10,Retail,Service_A,1941.84,0.04,75.73,1866.11,01/10/2024,,,
303,2024-06,Retail,AddOn_D,1684.92,0.05,77.51,1607.41,01/06/2024,,,
